ID_PUNTO,SITE_NO,REP_NO,VISIT_ID,LON,LAT,OBSERVADOR,OBS_ID,LOCALIDAD_2,FECHA,MES,DIA,ANO,SP_CHECK,ELEV,X,Y,METHOD
JSP08,14,JSP08JSP44097947,3,-74.30248,4.41657,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Turdus fuscater,2522,577389.4696,488209.6607,Survey
JSP08,14,JSP08JSP44097947,3,-74.30248,4.41657,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Turdus fuscater,2522,577389.4696,488209.6607,Survey
JSP08,14,JSP08JSP44097947,3,-74.30248,4.41657,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Henicorhina leucophrys,2522,577389.4696,488209.6607,Survey
JSP09,15,JSP09JSP440971006,3,-74.30287,4.41485,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Zonotrichia capensis,2522,577346.3753,488019.4831,Survey
JSP09,15,JSP09JSP440971006,3,-74.30287,4.41485,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Zonotrichia capensis,2522,577346.3753,488019.4831,Survey
JSP09,15,JSP09JSP440971006,3,-74.30287,4.41485,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Colibri cyanotus,2522,577346.3753,488019.4831,Survey
JSP09,15,JSP09JSP440971006,3,-74.30287,4.41485,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Diglossa caerulescens,2522,577346.3753,488019.4831,Survey
JSP09,15,JSP09JSP440971006,3,-74.30287,4.41485,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Sporathraupis cyanocephala,2522,577346.3753,488019.4831,Survey
JSP09,15,JSP09JSP440971006,3,-74.30287,4.41485,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Henicorhina leucophrys,2522,577346.3753,488019.4831,Survey
JSP09,15,JSP09JSP440971006,3,-74.30287,4.41485,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Henicorhina leucophrys,2522,577346.3753,488019.4831,Survey
JSP10,16,JSP10JSP440971022,3,-74.30378,4.41327,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Pyrrhomyias cinnamomeus,2522,577245.5694,487844.7279,Survey
JSP11,17,JSP11JSP440971045,3,-74.30476,4.41117,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Zonotrichia capensis,2522,577137.0499,487612.4824,Survey
JSP11,17,JSP11JSP440971045,3,-74.30476,4.41117,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Zonotrichia capensis,2522,577137.0499,487612.4824,Survey
JSP11,17,JSP11JSP440971045,3,-74.30476,4.41117,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Dryobates fumigatus,2522,577137.0499,487612.4824,Survey
JSP11,17,JSP11JSP440971045,3,-74.30476,4.41117,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Atlapetes albofrenatus,2522,577137.0499,487612.4824,Survey
JSP11,17,JSP11JSP440971045,3,-74.30476,4.41117,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Sporathraupis cyanocephala,2522,577137.0499,487612.4824,Survey
JSP11,17,JSP11JSP440971045,3,-74.30476,4.41117,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Tangara nigroviridis,2522,577137.0499,487612.4824,Survey
JSP11,17,JSP11JSP440971045,3,-74.30476,4.41117,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Stilpnia heinei,2522,577137.0499,487612.4824,Survey
JSP11,17,JSP11JSP440971045,3,-74.30476,4.41117,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Turdus fuscater,2522,577137.0499,487612.4824,Survey
JSP11,17,JSP11JSP440971045,3,-74.30476,4.41117,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Metallura tyrianthina,2522,577137.0499,487612.4824,Survey
JSP11,17,JSP11JSP440971045,3,-74.30476,4.41117,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Zonotrichia capensis,2522,577137.0499,487612.4824,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Icterus chrysater,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Zonotrichia capensis,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Zonotrichia capensis,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Colibri cyanotus,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Zonotrichia capensis,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Zonotrichia capensis,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Icterus chrysater,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Zonotrichia capensis,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP12,18,JSP12JSP440971109,3,-74.30576,4.40943,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Orochelidon murina,2522,577026.2735,487420.0312,Survey
JSP13,19,JSP13JSP440971128,3,-74.30677,4.40585,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Zonotrichia capensis,2318,576914.576,487024.177,Survey
JSP13,19,JSP13JSP440971128,3,-74.30677,4.40585,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Zonotrichia capensis,2318,576914.576,487024.177,Survey
JSP13,19,JSP13JSP440971128,3,-74.30677,4.40585,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Zonotrichia capensis,2318,576914.576,487024.177,Survey
JSP01,7,JSP01JSP44098625,5,-74.29519,4.42288,JSP,3,Vereda El Penon,9/24/2020,9,24,2020,Troglodytes aedon,2788,578197.6702,488907.9617,Survey
JSP01,7,JSP01JSP44098625,5,-74.29519,4.42288,JSP,3,Vereda El Penon,9/24/2020,9,24,2020,Zenaida auriculata,2788,578197.6702,488907.9617,Survey
JSP01,7,JSP01JSP44098625,5,-74.29519,4.42288,JSP,3,Vereda El Penon,9/24/2020,9,24,2020,Zonotrichia capensis,2788,578197.6702,488907.9617,Survey
JSP01,7,JSP01JSP44098625,5,-74.29519,4.42288,JSP,3,Vereda El Penon,9/24/2020,9,24,2020,Zonotrichia capensis,2788,578197.6702,488907.9617,Survey
JSP01,7,JSP01JSP44098625,5,-74.29519,4.42288,JSP,3,Vereda El Penon,9/24/2020,9,24,2020,Troglodytes aedon,2788,578197.6702,488907.9617,Survey
JSP01,7,JSP01JSP44098625,5,-74.29519,4.42288,JSP,3,Vereda El Penon,9/24/2020,9,24,2020,Zonotrichia capensis,2788,578197.6702,488907.9617,Survey
JSP01,7,JSP01JSP44098625,5,-74.29519,4.42288,JSP,3,Vereda El Penon,9/24/2020,9,24,2020,Zonotrichia capensis,2788,578197.6702,488907.9617,Survey
JSP01,7,JSP01JSP44098625,5,-74.29519,4.42288,JSP,3,Vereda El Penon,9/24/2020,9,24,2020,Zonotrichia capensis,2788,578197.6702,488907.9617,Survey
