ID_PUNTO,SITE_NO,REP_NO,VISIT_ID,LON,LAT,OBSERVADOR,OBS_ID,LOCALIDAD,FECHA,MES,DIA,ANO,SP_CHECK,ELEV,X,Y,METHOD,PERIOD
FLO_H4,42,116415,20,-75.705285,1.508875,CHAP,5,La Murelia,7/23/1912,7,23,1912,Sclerurus caudacutus,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116416,18,-75.705285,1.508875,CHAP,5,La Murelia,7/21/1912,7,21,1912,Sclerurus caudacutus,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116417,14,-75.705285,1.508875,CHAP,5,La Murelia,7/17/1912,7,17,1912,Sclerurus caudacutus,253,421544.4762,166789.1259,Specimen,Historical
FLO_H1,39,116418,15,-75.595919,1.650134,CHAP,5,Florencia,7/1/1912,7,1,1912,Sclerurus caudacutus,371,433715.2493,182399.8199,Specimen,Historical
FLO_H5,43,116433,6,-75.705285,1.508875,CHAP,5,"Morelia, area",7/15/1912,7,15,1912,Glyphorynchus spirurus,253,421650.8404,166831.9807,Specimen,Historical
FLO_H5,43,116434,3,-75.705285,1.508875,CHAP,5,"Morelia, area",7/11/1912,7,11,1912,Glyphorynchus spirurus,253,421650.8404,166831.9807,Specimen,Historical
FLO_H5,43,116435,8,-75.705285,1.508875,CHAP,5,"Morelia, area",7/17/1912,7,17,1912,Glyphorynchus spirurus,253,421650.8404,166831.9807,Specimen,Historical
FLO_H3,41,116436,4,-75.595919,1.650134,CHAP,5,"Florencia, area",6/28/1912,6,28,1912,Glyphorynchus spirurus,371,433715.2493,182399.8199,Specimen,Historical
FLO_H3,41,116437,4,-75.595919,1.650134,CHAP,5,"Florencia, area",6/28/1912,6,28,1912,Glyphorynchus spirurus,371,433715.2493,182399.8199,Specimen,Historical
FLO_H3,41,116438,3,-75.595919,1.650134,CHAP,5,"Florencia, area",6/27/1912,6,27,1912,Glyphorynchus spirurus,371,433715.2493,182399.8199,Specimen,Historical
FLO_H3,41,116439,3,-75.595919,1.650134,CHAP,5,"Florencia, area",6/27/1912,6,27,1912,Glyphorynchus spirurus,371,433715.2493,182399.8199,Specimen,Historical
FLO_H1,39,116461,12,-75.595919,1.650134,CHAP,5,Florencia,6/28/1912,6,28,1912,Xiphorhynchus guttatus,371,433715.2493,182399.8199,Specimen,Historical
FLO_H1,39,116462,15,-75.595919,1.650134,CHAP,5,Florencia,7/1/1912,7,1,1912,Xiphorhynchus elegans,371,433715.2493,182399.8199,Specimen,Historical
FLO_H4,42,116480,14,-75.705285,1.508875,CHAP,5,La Murelia,7/17/1912,7,17,1912,Campylorhamphus trochilirostris,253,421544.4762,166789.1259,Specimen,Historical
FLO_H1,39,116484,15,-75.595919,1.650134,CHAP,5,Florencia,7/1/1912,7,1,1912,Dendrocolaptes picumnus,371,433715.2493,182399.8199,Specimen,Historical
FLO_H1,39,116485,17,-75.595919,1.650134,CHAP,5,Florencia,7/3/1912,7,3,1912,Dendrocolaptes sanctithomae,371,433715.2493,182399.8199,Specimen,Historical
FLO_H4,42,116501,21,-75.705285,1.508875,CHAP,5,La Murelia,7/24/1912,7,24,1912,Ochthornis littoralis,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116502,22,-75.705285,1.508875,CHAP,5,La Murelia,7/25/1912,7,25,1912,Ochthornis littoralis,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116527,18,-75.705285,1.508875,CHAP,5,La Murelia,7/21/1912,7,21,1912,Platyrinchus coronatus,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116528,8,-75.705285,1.508875,CHAP,5,La Murelia,7/11/1912,7,11,1912,Platyrinchus coronatus,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116529,20,-75.705285,1.508875,CHAP,5,La Murelia,7/23/1912,7,23,1912,Rhynchocyclus olivaceus,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116530,13,-75.705285,1.508875,CHAP,5,La Murelia,7/16/1912,7,16,1912,Rhynchocyclus olivaceus,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116531,7,-75.705285,1.508875,CHAP,5,La Murelia,7/10/1912,7,10,1912,Rhynchocyclus olivaceus,253,421544.4762,166789.1259,Specimen,Historical
FLO_H1,39,116532,14,-75.595919,1.650134,CHAP,5,Florencia,6/30/1912,6,30,1912,Rhynchocyclus olivaceus,371,433715.2493,182399.8199,Specimen,Historical
FLO_H4,42,116535,7,-75.705285,1.508875,CHAP,5,La Murelia,7/10/1912,7,10,1912,Tolmomyias poliocephalus,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116536,7,-75.705285,1.508875,CHAP,5,La Murelia,7/10/1912,7,10,1912,Tolmomyias poliocephalus,253,421544.4762,166789.1259,Specimen,Historical
FLO_H1,39,116537,10,-75.595919,1.650134,CHAP,5,Florencia,6/26/1912,6,26,1912,Tolmomyias poliocephalus,371,433715.2493,182399.8199,Specimen,Historical
FLO_H1,39,116538,9,-75.595919,1.650134,CHAP,5,Florencia,6/25/1912,6,25,1912,Tolmomyias poliocephalus,371,433715.2493,182399.8199,Specimen,Historical
FLO_H1,39,116540,10,-75.595919,1.650134,CHAP,5,Florencia,6/26/1912,6,26,1912,Tolmomyias assimilis,371,433715.2493,182399.8199,Specimen,Historical
FLO_H1,39,116545,14,-75.595919,1.650134,CHAP,5,Florencia,6/30/1912,6,30,1912,Poecilotriccus latirostris,371,433715.2493,182399.8199,Specimen,Historical
FLO_H1,39,116549,1,-75.595919,1.650134,CHAP,5,Florencia,6/1/1912,6,1,1912,Hemitriccus zosterops,371,433715.2493,182399.8199,Specimen,Historical
FLO_H1,39,116550,12,-75.595919,1.650134,CHAP,5,Florencia,6/28/1912,6,28,1912,Hemitriccus zosterops,371,433715.2493,182399.8199,Specimen,Historical
FLO_H4,42,116557,13,-75.705285,1.508875,CHAP,5,La Murelia,7/16/1912,7,16,1912,Lophotriccus vitiosus,253,421544.4762,166789.1259,Specimen,Historical
FLO_H1,39,116578,9,-75.595919,1.650134,CHAP,5,Florencia,6/25/1912,6,25,1912,Mionectes oleagineus,371,433715.2493,182399.8199,Specimen,Historical
FLO_H1,39,116579,9,-75.595919,1.650134,CHAP,5,Florencia,6/25/1912,6,25,1912,Mionectes oleagineus,371,433715.2493,182399.8199,Specimen,Historical
FLO_H4,42,116593,12,-75.705285,1.508875,CHAP,5,La Murelia,7/15/1912,7,15,1912,Tyrannulus elatus,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116600,21,-75.705285,1.508875,CHAP,5,La Murelia,7/24/1912,7,24,1912,Elaenia gigas,253,421544.4762,166789.1259,Specimen,Historical
FLO_H1,39,116609,4,-75.595919,1.650134,CHAP,5,Florencia,6/12/1912,6,12,1912,Elaenia parvirostris,371,433715.2493,182399.8199,Specimen,Historical
FLO_H1,39,116610,15,-75.595919,1.650134,CHAP,5,Florencia,7/1/1912,7,1,1912,Elaenia parvirostris,371,433715.2493,182399.8199,Specimen,Historical
FLO_H1,39,116611,10,-75.595919,1.650134,CHAP,5,Florencia,6/26/1912,6,26,1912,Elaenia parvirostris,371,433715.2493,182399.8199,Specimen,Historical
