"Species","BARB_H","BARB_M","BARB_EXT","BARB_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Galbula ruficauda",6,1,NA,NA,-0.153055648889549,1.73446501862508,-0.172519395904596,-0.351396913327702,0.468199078086493,-0.761916189845595,-0.213552738132379,0.247953215671212,-0.297020426359163,-1.3295752144006,-0.25678518734484,-1.02138119403483,1.1505908085228,-0.162713775600309
"Geothlypis semiflava",4,6,NA,NA,-0.480636391658528,-0.498388649904267,-0.651057040882715,-0.650997223377967,-0.59584581095171,-0.130641245726907,-0.692393902902438,-1.13114531524586,0.996467485152072,0.109917962774189,0.124029395030835,-0.199950133737651,0.0728501108401074,-0.0228720739989966
"Geotrygon purpurata",1,0,1,NA,1.04640999485269,-0.181058025177874,-0.698910805380527,0.457668658257311,-0.236583422217409,0.748192500006952,0.122930242516851,0.687720719768326,0.236102816584833,1.23344928623208,0.85473442988141,0.130546743929842,0.362119872640543,0.242971872808447
"Glaucis aeneus",2,12,NA,NA,-1.44790841684734,0.442063928830316,-0.938179627869586,-0.724811792520786,-0.860875441985211,-1.16419924247025,2.34242374949158,-2.31870384804077,-2.26322976798841,-0.52679943307795,0.388944549829779,-0.623959886406807,0.0416413628399038,-0.116114184733209
"Glaucis hirsutus",0,1,NA,1,-1.1839351767175,0.540147940109383,-0.698910805380527,-0.633629089462009,-0.745047677311311,-1.2075220327529,2.29065713708401,-1.99493425369956,-2.28018951132501,-0.63457043079035,0.291394194385544,-0.458304727470844,0.132181651173169,-0.0516729351732568
"Glyphorynchus spirurus",6,16,NA,NA,-0.604843042986089,-0.57916371801644,-0.411788218393655,-0.490341984655361,-0.216951597696409,-0.440089747745872,-0.0323695947058711,-1.0993277889702,0.232691232482947,0.108988194343665,-0.370408443135409,-0.151783272682599,-0.0682937349587952,-0.0120171289291998
"Gymnopithys bicolor",9,19,NA,NA,-0.0317476976418051,-0.302220627346133,-0.244300042651314,-0.394817248117596,-0.59780899340381,0.24688592673623,-0.970639444593147,-0.373095184991172,1.27720389517973,0.0779256367555012,0.37908918720283,0.00758456604295795,-0.00846883344795735,0.0108151846564766
"Gymnopithys leucaspis",3,0,1,NA,-0.133296126993265,-0.302220627346133,-0.363934453895844,-0.442579616386479,-0.660630831871011,0.160240346170919,-0.880047872879893,-0.566460583635206,1.18365830378254,0.0690689873428976,0.396593855578145,-0.0333286324956472,0.031773368803417,-0.020214993057812
"Hafferia immaculata",11,0,1,NA,0.28282018956128,-0.065665070731913,-0.220373160402408,-0.315213301002791,0.0677098578580919,0.618224129158987,-1.1712350676725,0.402228134519046,1.4491049649498,0.26382775883122,0.184782327032213,-0.414818483106501,0.0911949665909234,0.245231959161184
"Heliornis fulica",1,0,1,NA,1.0638331960563,0.499760406053296,-0.411788218393655,0.563324806246052,0.093231229735392,-0.124452275686528,0.763542071060577,0.750044665444149,-0.834068802131804,0.491480843032822,0.342200539453987,0.187022466949069,0.883178065713188,0.130943832971014
"Heliothryx barroti",2,3,NA,NA,-1.34473712633316,-0.106052604788,-0.938179627869586,-0.561261864812187,-0.39363801838541,-1.18276615259139,2.82126491426164,-2.23537866772496,-2.66761656173993,0.0414767869827169,-0.113120662070254,-0.527029588848267,-0.151710057525378,0.0851894462863521
"Henicorhina leucosticta",5,9,NA,NA,-0.62589650439643,-0.37145640001371,-0.627130158633809,-0.700206936139846,-0.906028638383511,-0.0687515453231143,-0.938285311838414,-1.25149034560457,1.25037437197348,-0.0954471643164493,0.393576471286751,-0.195336208169558,0.0199947572125594,-0.181764418931067
"Herpetotheres cachinnans",1,2,NA,NA,2.24059253245479,0.545917587831681,1.55021612601663,2.4578987475784,2.7867175540166,2.18403354937495,-0.355910922253208,5.38128192431513,0.203815749342371,1.67819869373806,-0.719437276070477,-0.362617402381144,-0.483747835905843,0.101585312617006
"Heterospingus xanthopygius",0,3,NA,1,0.13590386401444,-0.16374908201098,0.0667494265844628,-0.226925286930008,-0.267994341451009,-0.19871991617108,-0.265319350539953,-0.193618168808527,0.392997182916361,-0.0964416296296213,-0.0432136497088824,0.219721808480992,0.112363373115188,0.108542918841732
