"Species","FUSA_H","FUSA_M","FUSA_EXT","FUSA_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Legatus leucophaius",0,1,NA,1,-0.287239424610136,-0.619551252072526,0.0428225443355568,-0.34850222434171,-0.42897530252321,-0.526735328311182,0.0711636301092767,-0.534780605681781,-0.0640132808461676,-0.101871095686519,-0.302157687616918,0.718863731756658,-0.0315127429393869,0.0988831866200003
"Leiothlypis peregrina",0,1,NA,1,-0.979969055009924,-0.740713854240785,-0.746764569878338,-0.580077343221141,-0.686152203748311,-0.328688287019045,0.0970469363130635,-1.59378710450208,0.23793695242158,0.0525691191986364,0.258357914230787,0.0469504435968683,-0.239607989560027,-0.194571427862617
"Lepidocolaptes lacrymiger",4,5,NA,NA,-0.0440312059733946,0.390137099329633,-0.363934453895844,0.0437281332603274,0.356297678316793,-0.248231676494114,-0.0388404212568177,0.729720030988464,-0.419979360853021,0.0964076869831642,-0.27232263233978,-0.58734902482122,0.514959821509561,-0.170473384026738
"Leptopogon rufipectus",4,4,NA,NA,-0.669843647934301,-0.544545831682651,-0.555349511887091,-0.514946841036301,-0.313147537849309,-0.501979448149665,-0.478856626721196,-0.99000642058864,0.459017115954189,-0.161064366721606,-0.317033620732454,-0.0463749196229295,0.154622475306406,-0.18808105031861
"Lipaugus fuscocinereus",4,0,1,NA,1.09752211443887,0.320901326662057,0.952044069793982,1.15239401489561,1.5931026231398,0.33353150730154,-0.381794228456995,3.95629517051393,-0.341397334614804,0.936700390239671,-1.12288751037304,0.075468127782951,0.230067205222726,-0.440773151101948
"Lophotriccus pileatus",1,0,1,NA,-1.10967818915535,-0.60801195662793,-0.603203276384903,-0.776916194268658,-0.741121312407111,-0.526735328311182,-0.562977371883503,-1.74584359790159,0.594450383459229,-0.595512218781329,-0.04691578152175,0.0159085674203814,-0.0797427476868808,-0.298141946560429
"Lurocalis rufiventris",4,0,1,NA,1.04346678387834,-0.533006536238055,-0.411788218393655,1.45054698045287,0.077525770118592,-0.743349279724457,2.24536135122738,1.25819836490643,-2.27825991901869,2.63350008675381,0.0761065710720813,1.39225554834842,1.1920973125589,-0.322069454629945
"Lurocalis semitorquatus",4,0,1,NA,0.644435875339938,-0.475310059015075,-0.459641982891467,1.19870903867149,0.132494878777392,-0.675270609280285,2.0965323405556,0.927867602395657,-2.10572241295357,2.34058112902193,0.00378297306318376,0.996827103380131,0.87063075788329,-0.375040949610826
"Margarornis squamiger",4,3,NA,NA,-0.476242896030312,-0.486849354459671,-0.698910805380527,-0.399159281596585,-0.0481179068158086,-0.217286826292217,-0.349440095702261,-0.537886667839366,0.483246791558402,0.220235263022312,-0.177082412052005,-0.344096244870605,0.117321223948739,-0.0785519941031131
"Masius chrysopterus",10,2,NA,NA,-0.785728683088471,-0.775331740574574,-0.555349511887091,-0.630734400476017,-0.686152203748311,-0.409144897543975,-0.750631341860958,-1.36240903440226,0.861859017588202,-0.357911662226425,-0.0269085762874983,0.248674899035267,0.0491482303206603,-0.241369832182309
"Mecocerculus leucophrys",7,37,NA,NA,-0.819417601471043,-0.481079706737373,-0.555349511887091,-0.545341075389226,-0.195356590723309,-0.186341976090321,-0.504739932924982,-0.82212897201267,0.598524925675625,-0.161854898630316,-0.14928764327486,-0.348189341715508,-0.186654320224558,-0.232429957484394
"Mecocerculus poecilocercus",5,0,1,NA,-1.08973293612876,-0.84456751324215,-0.890325863371774,-0.650997223377967,-0.65474128451471,-0.520546358270803,-0.56944819843445,-1.81997464166095,0.745246168183122,-0.133556220769221,-0.0603724515282106,-0.0370081747543815,0.0400256334969485,-0.421775553808169
"Melanerpes formicivorus",0,2,NA,1,0.680508802839648,0.182429781326903,0.497433307064769,0.538719949865112,0.146237155942092,-0.112074335605769,0.232934293882945,1.7837395154404,-0.712038445894211,0.278958486643319,-0.100361317380263,0.715555197316427,0.446434483306755,-0.0653174853231976
"Metallura tyrianthina",1,14,NA,NA,-1.6249594762259,-0.417613581792094,-0.962106510118492,-0.700206936139846,-0.770569049188611,-1.13325439226835,2.28418631053306,-2.86120903432349,-1.98817204722586,0.370210482935775,0.0575966305534728,-0.202965950197009,-0.472002868363731,-0.0203461082483384
"Mionectes olivaceus",0,2,NA,1,-0.569350730835511,-0.481079706737373,-0.483568865140373,-0.527972941473269,-0.50161305325091,-0.421522837624734,-0.478856626721196,-0.945073064769075,0.463915056002077,-0.306739689309054,-0.066705396453775,0.11509548495567,0.179178122059308,-0.104471327010445
"Mionectes striaticollis",2,3,NA,NA,-0.584358664293232,-0.55031547940495,-0.459641982891467,-0.517841530022294,-0.45842303930471,-0.378200047342079,-0.511210759475929,-0.906854002146368,0.538828053702164,-0.252381721371874,-0.101305338706406,0.12250538064617,0.100865337243864,-0.12365803279096
"Mniotilta varia",0,1,NA,1,-0.826338890427876,-0.57916371801644,-0.770691452127244,-0.488894640162365,-0.59780899340381,-0.390577987422837,0.0711636301092767,-1.36422799136095,0.127719453989552,0.0669218876962228,0.202727521402877,-0.0161025530165781,-0.000859572043136296,-0.198016234210616
"Myadestes ralloides",3,17,NA,NA,-0.0821234379066831,-0.515697593071161,-0.363934453895844,-0.267450932733909,0.0225566614597918,-0.1925309461307,-0.0711945540115514,-0.0372645772991803,0.233019292989971,0.367070254688708,-0.237662500186112,0.0437688039756001,0.0980269580669401,0.188986319591055
"Myiarchus cephalotes",0,1,NA,1,-0.158797160238838,-0.117591900232596,0.0906763088333687,-0.199425741563076,0.203169447052993,-0.143019185807666,-0.53062323912877,0.547752552398642,0.269594829729984,-0.230105789312506,-0.483630361174343,-0.0646979026709866,0.000278262629111625,-0.0781996711291531
"Myioborus miniatus",14,10,NA,NA,-0.971501080060351,-0.683017377017805,-0.483568865140373,-0.56415655379818,-0.238546604669509,-0.36582210726132,-0.478856626721196,-1.10089171507834,0.575009142292672,-0.145596244191093,-0.368630017839568,-0.154845452642994,-0.271715296778049,-0.334342743164271
"Myioborus ornatus",5,13,NA,NA,-0.772661533977914,-0.659938786128612,-0.435715100642562,-0.490341984655361,-0.144313846968709,-0.260609616574872,-0.614743984291077,-0.761576661230108,0.705558276299296,-0.085580457343871,-0.361163425854616,-0.139948356988402,-0.196359619905261,-0.283184029282784
"Myiodynastes chrysocephalus",0,2,NA,1,0.12607394834442,0.165120838160009,1.19131289228304,0.0495175112323133,0.236543548738692,-0.316310346938286,-0.207081911581433,1.42950824131698,-0.487958682453401,-0.72173531754278,-0.853173057862804,0.739948032598149,-0.247325529453165,-0.0432374910052478
"Myiophobus flavicans",4,3,NA,NA,-0.710505745032612,-0.567624422571844,-0.459641982891467,-0.500473396106336,-0.41719620781061,-0.359633137220941,-0.459444147068355,-0.947450924838201,0.498735525730545,-0.214229617550719,-0.128296888574194,0.0557144906280335,-0.0202190130051368,-0.221520758384979
"Myiotheretes fumigatus",0,3,NA,1,0.0223252914080398,-0.00219894578663451,0.234237602326804,0.108858635445167,0.152126703298392,-0.0130508149597008,-0.194140258479539,0.995752851680342,-0.103590129533188,-0.018261879790403,-0.198559873240296,0.169071137050031,0.0012354652999465,-0.19219172995521
