Species,ID,Family2,Order2,Avibase.ID2,MODERN,HISTORICAL,BARB_H,BARB_M,BARB_EXT,BARB_NEW,POP_BARB,SAGU_H,SAGU_M,SAGU_EXT,SAGU_NEW,POP_SAGU,TOCHE_H,TOCHE_M,TOCHE_EXT,TOCHE_NEW,POP_TOCHE,HON_H,HON_M,HON_EXT,HON_NEW,POP_HON,FLOR_H,FLOR_M,FLOR_EXT,FLOR_NEW,POP_FLOR,FUSA_H,FUSA_M,FUSA_EXT,FUSA_NEW,POP_FUSA,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Previo_nombre
Lurocalis semitorquatus,408,Caprimulgidae,Caprimulgiformes,AVIBASE-518ADDBC,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1,,A,5,2,3,0,4,15.5,7.6,4.2,3.7,12.7,185.4,105.2,80,56.8,83.8,75.9,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Aerial,
Machaeropterus deliciosus,409,Pipridae,Passeriformes,AVIBASE-D76775F3,0,12,12,0,1,,A,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,4,0,3,11.6,6.2,3.8,3.4,16.8,61.4,12.5,48.5,20.5,24.5,12.7,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,
Machaeropterus regulus,410,Pipridae,Passeriformes,AVIBASE-FCA41C81,0,6,,,,,,,,,,,,,,,,,,,,,6,0,1,,A,,,,,,8,3,4,1,4,9.9,5.6,3.3,3.1,13.9,52.9,12.5,40.2,23.7,22.6,9.3,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,
Machaeropterus striolatus,411,Pipridae,Passeriformes,AVIBASE-B4FFD399,26,0,,,,,,,,,,,,,,,,0,2,,1,B,0,24,,1,B,,,,,,11,3,7,1,4,9.7,5,3.4,3,13.9,50.8,10.5,41.2,20.2,22.5,9.3,DataFromSplit,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,
Machetornis rixosa,412,Tyrannidae,Passeriformes,AVIBASE-87874F97,2,0,,,,,,0,1,,1,B,,,,,,0,1,,1,B,,,,,,,,,,,6,2,4,0,4,22.2,13.8,5.6,5,29.8,93.8,16.9,76.7,18,77.4,29.6,Dunning,NA,NO,NA,NA,Grassland,3,1,Carnivore,Invertivore,Terrestrial,
Malacoptila fusca,413,Bucconidae,Galbuliformes,AVIBASE-6D14FBBA,0,2,,,,,,,,,,,,,,,,,,,,,2,0,1,,A,,,,,,5,2,2,1,4,27.8,20.7,7.3,9.2,18,87.4,16.9,70.7,19.3,57,45.4,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Malacoptila panamensis,414,Bucconidae,Galbuliformes,AVIBASE-46451CCE,12,6,6,12,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,4,0,7,29.3,22.8,9.5,9.8,18.1,87.4,19.9,68,22.5,71.8,42.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Manacus manacus,415,Pipridae,Passeriformes,AVIBASE-091F833E,189,28,26,96,,,C,,,,,,,,,,,2,26,,,C,0,67,,1,B,,,,,,74,24,43,7,12,11.5,6.8,4.4,4.2,20.9,52.2,8.4,44.5,15.9,32.8,16.7,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,
Margarornis squamiger,416,Furnariidae,Passeriformes,AVIBASE-CDBA9E0C,16,9,,,,,,0,1,,1,B,5,12,,,C,,,,,,,,,,,4,3,,,C,54,11,26,17,13,15.3,7.4,3.2,3.6,20.1,75,14.2,60.5,19,74.6,17.3,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Masius chrysopterus,417,Pipridae,Passeriformes,AVIBASE-2F4691A7,12,20,5,0,1,,A,5,10,,,C,,,,,,,,,,,,,,,,10,2,,,C,9,4,5,0,4,10.3,5.2,3.8,3.6,17,59,8,54,12.8,42.1,11.5,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Frugivore,Insessorial,
Mecocerculus leucophrys,418,Tyrannidae,Passeriformes,AVIBASE-AA12C545,87,10,,,,,,0,1,,1,B,3,49,,,C,,,,,,,,,,,7,37,,,C,16,6,7,3,2,15.4,8.3,3.8,3.4,20.6,64.9,10.1,54,16.6,67.1,11,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Mecocerculus poecilocercus,419,Tyrannidae,Passeriformes,AVIBASE-A8BB18CD,8,5,,,,,,,,,,,0,8,,1,B,,,,,,,,,,,5,0,1,,A,9,4,4,1,4,9.1,5.2,2.4,2.5,15.2,57.6,8.6,46.8,15.6,43.7,7.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Mecocerculus stictopterus,420,Tyrannidae,Passeriformes,AVIBASE-15F3B9EC,6,5,,,,,,,,,,,5,6,,,C,,,,,,,,,,,,,,,,31,9,15,7,7,12.3,5.8,2.9,2.8,18,62.4,8.9,52.4,14.5,60.2,9.4,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Megaceryle torquata,421,Alcedinidae,Coraciiformes,AVIBASE-5EFB075F,18,1,0,1,,1,B,,,,,,0,11,,1,B,1,1,,,C,0,5,,1,B,,,,,,22,12,9,1,4,83.6,65.2,14.9,21.1,14.3,191.3,46.5,143,24.5,120.2,317,Dunning,NA,NO,NA,NA,Riverine,3,1,Carnivore,Aquatic predator,Insessorial,
Megarynchus pitangua,422,Tyrannidae,Passeriformes,AVIBASE-8118C647,19,0,,,,,,0,5,,1,B,,,,,,0,11,,1,B,0,3,,1,B,,,,,,42,13,15,14,7,33.7,24.7,13.9,10.4,19.2,113.5,26.6,87.5,23.3,85.8,69.9,Dunning,NA,NO,NA,NA,Woodland,2,1,Carnivore,Invertivore,Insessorial,
Megascops centralis,423,Strigidae,Strigiformes,AVIBASE-6880BD07,1,0,0,1,,1,B,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,2,21.4,12.6,7,12.2,26.3,166.5,42.9,123.6,25.8,77.3,118,DataFromSplit,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Megascops choliba,424,Strigidae,Strigiformes,AVIBASE-E2B40A6E,1,0,,,,,,,,,,,,,,,,0,1,,1,B,,,,,,,,,,,22,8,10,4,4,21.8,12.1,7,11.7,30,162.8,33.6,124.5,21,91.3,132,Dunning,NA,NO,NA,NA,Human Modified,2,1,Carnivore,Invertivore,Insessorial,
Megascops watsonii,425,Strigidae,Strigiformes,AVIBASE-D33F0493,0,2,,,,,,,,,,,,,,,,,,,,,2,0,1,,A,,,,,,5,1,3,1,3,23.2,13.3,8.2,13.3,34.2,165.6,43,127.2,25.2,90.6,129,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Melanerpes cruentatus,426,Picidae,Piciformes,AVIBASE-BFF72DFE,18,16,,,,,,,,,,,,,,,,,,,,,16,18,,,C,,,,,,13,6,7,0,8,26.3,20.3,6.7,6.6,18.6,113.8,31.7,82.2,27.8,56.1,58.1,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Invertivore,Insessorial,
Melanerpes formicivorus,427,Picidae,Piciformes,AVIBASE-7E327303,8,6,,,,,,4,6,,,C,2,0,1,,A,,,,,,,,,,,0,2,,1,B,8,4,3,1,4,26.9,20.6,8.2,7.4,21.8,139.8,40.1,103.6,28,84.5,79.6,Dunning,NA,NO,NA,NA,Woodland,2,1,Herbivore,Granivore,Insessorial,
Melanerpes pucherani,428,Picidae,Piciformes,AVIBASE-8078C2CF,4,6,6,4,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,15,7,8,0,4,26,19,6.6,6.6,19.4,110.6,27.3,80.5,25.3,57.6,62.4,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Invertivore,Insessorial,
Melanerpes rubricapillus,429,Picidae,Piciformes,AVIBASE-6F6D0E72,43,6,,,,,,,,,,,,,,,,6,43,,,C,,,,,,,,,,,9,3,5,1,4,23.2,17.3,5.7,6.4,20.2,104.9,27,81.7,24.8,59.5,52.3,Dunning,NA,NO,NA,NA,Woodland,2,1,Omnivore,Invertivore,Insessorial,
Melanospiza bicolor,430,Thraupidae,Passeriformes,AVIBASE-821B971F,4,3,,,,,,,,,,,,,,,,3,4,,,C,,,,,,,,,,,12,2,5,5,4,10.6,6.3,4.2,5.7,16.3,52.7,7.7,44.8,14.7,38.5,9.8,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Granivore,Terrestrial,
Mesembrinibis cayennensis,431,Threskiornithidae,Pelecaniformes,AVIBASE-08DD4E80,5,0,,,,,,,,,,,,,,,,,,,,,0,5,,1,B,,,,,,9,4,3,2,4,116.6,92.5,11.8,16.3,60.3,296.1,76.6,229.5,25,153.3,756,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Aquatic predator,Terrestrial,
Metallura tyrianthina,432,Trochilidae,Caprimulgiformes,AVIBASE-7AEDC014,52,12,,,,,,,,,,,11,38,,,C,,,,,,,,,,,1,14,,,C,54,16,27,11,37,16.5,11.9,2.1,1.7,5.3,54.2,32.3,21.9,59.7,37.8,3.8,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Nectarivore,Aerial,
Metallura williami,433,Trochilidae,Caprimulgiformes,AVIBASE-8023D26D,6,0,,,,,,,,,,,0,6,,1,B,,,,,,,,,,,,,,,,7,2,2,3,4,16.2,11.1,1.6,1.5,5.9,57.5,32,24.7,56.4,37.6,4.5,Dunning,NA,NO,NA,NA,Forest,3,1,Herbivore,Nectarivore,Aerial,
Metopothrix aurantiaca,434,Furnariidae,Passeriformes,AVIBASE-6E14FE47,12,0,,,,,,,,,,,,,,,,,,,,,0,12,,1,B,,,,,,5,0,4,1,2,11.8,7.7,3.1,3.3,14.5,56.9,12.9,43.9,22.8,48.5,11.2,Dunning,NA,NO,NA,NA,Riverine,1,1,Carnivore,Invertivore,Insessorial,
Microbates cinereiventris,435,Polioptilidae,Passeriformes,AVIBASE-0AA19250,16,5,5,16,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,4,0,5,20,12.6,3.4,3.1,23.1,53,6.2,46.6,11.8,27.2,11.9,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Generalist,
Microbates collaris,436,Polioptilidae,Passeriformes,AVIBASE-2C4579F1,0,1,,,,,,,,,,,,,,,,,,,,,1,0,1,,A,,,,,,4,1,1,2,4,20.2,12.2,3,2.9,21.9,54.1,6.2,47.9,11.5,27.2,10.2,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Generalist,
Microcerculus marginatus,437,Troglodytidae,Passeriformes,AVIBASE-A7667D10,33,10,7,17,,,C,,,,,,,,,,,0,9,,1,B,3,7,,,C,,,,,,24,2,4,18,6,19.2,12.2,3.4,3.6,23.5,58.7,6.8,51.5,11.6,24.2,18.2,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Generalist,
Micromonacha lanceolata,438,Bucconidae,Galbuliformes,AVIBASE-BF431930,0,1,1,0,1,,A,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,2,4,4,23.1,16.2,6.2,7.1,12.9,62.9,15.3,48.1,23.5,41.8,19.8,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Microrhopias quixensis,439,Thamnophilidae,Passeriformes,AVIBASE-49D57DF3,4,0,0,4,,1,B,,,,,,,,,,,,,,,,,,,,,,,,,,26,6,20,0,6,15.6,9.6,4.1,3.8,16.5,53,9.2,44.7,17.8,52.7,7.9,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Milvago chimachima,440,Falconidae,Falconiformes,AVIBASE-BA33DDD5,39,2,,,,,,1,3,,,C,0,2,,1,B,1,25,,,C,0,9,,1,B,,,,,,10,4,4,2,4,30.5,20.3,11.3,14.5,49.4,285.9,85.5,199.9,29.9,198.4,315.2,Dunning,NA,NO,NA,NA,Grassland,3,1,Carnivore,Omnivore,Terrestrial,
Mimus gilvus,441,Mimidae,Passeriformes,AVIBASE-1281617B,3,2,,,,,,1,2,,,C,,,,,,1,1,,,C,,,,,,,,,,,12,6,6,0,7,22.9,13.9,5.1,5.8,33,105.8,23.9,80.7,22.8,115.7,52,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Generalist,
Mionectes oleagineus,442,Tyrannidae,Passeriformes,AVIBASE-0EFCDBB8,55,3,0,9,,1,B,,,,,,,,,,,1,25,,,C,2,21,,,C,,,,,,202,17,25,160,22,11.8,8.2,4.2,3.4,16,60.5,10.5,50.8,17.1,48.2,11.2,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,
Mionectes olivaceus,443,Tyrannidae,Passeriformes,AVIBASE-F083DCE5,27,6,6,25,,,C,,,,,,,,,,,,,,,,,,,,,0,2,,1,B,42,12,17,13,24,15.4,8.9,4.1,3.4,16.8,66.1,11.2,54.7,17,51.5,15.3,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,
Mionectes striaticollis,444,Tyrannidae,Passeriformes,AVIBASE-9A4AE6AE,30,13,,,,,,9,16,,,C,2,11,,,C,,,,,,,,,,,2,3,,,C,120,45,54,21,86,14.2,8,4.2,3.4,17.5,66.8,11.1,56.2,16.5,53.7,15,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Invertivore,Insessorial,
Mitrospingus cassinii,445,Mitrospingidae,Passeriformes,AVIBASE-D59309B6,2,13,13,2,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,3,1,4,21.6,12.8,5.4,6.9,25.4,83.5,10.3,71.9,12.6,73.2,40.4,Dunning,NA,NO,NA,NA,Forest,2,1,Omnivore,Omnivore,Insessorial,
Mniotilta varia,446,Parulidae,Passeriformes,AVIBASE-4D207AF6,2,1,0,1,,1,B,,,,,,,,,,,1,0,1,,A,,,,,,0,1,,1,B,20,12,8,0,4,13.7,9,2.9,3.3,17.3,68.8,17,49.7,25.5,46.6,10.9,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Invertivore,Insessorial,
Molothrus bonariensis,447,Icteridae,Passeriformes,AVIBASE-AA779804,17,5,2,6,,,C,2,6,,,C,,,,,,0,1,,1,B,1,4,,,C,,,,,,25,10,14,1,4,19.7,12.5,6.5,8.3,25.5,109.9,29.5,78.2,27.3,82.7,41.5,Dunning,NA,NO,NA,NA,Woodland,2,1,Omnivore,Invertivore,Terrestrial,
Molothrus oryzivorus,448,Icteridae,Passeriformes,AVIBASE-91375A56,3,0,,,,,,0,2,,1,B,,,,,,,,,,,0,1,,1,B,,,,,,13,5,8,0,4,35.5,21.4,9.3,11.5,41.9,173.6,56.3,119.5,31.9,130.9,181.9,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Omnivore,Terrestrial,
Momotus aequatorialis,449,Momotidae,Coraciiformes,AVIBASE-6CAC15FB,15,1,,,,,,1,11,,,C,0,3,,1,B,0,1,,1,B,,,,,,,,,,,26,7,11,8,4,45,33.2,11.2,14.1,28.4,154.8,26.8,126.9,17.4,281.5,158,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Momotus momota,450,Momotidae,Coraciiformes,AVIBASE-7CE7EB2F,0,17,,,,,,3,0,1,,A,2,0,1,,A,1,0,1,,A,11,0,1,,A,,,,,,8,0,4,4,4,42.5,29.4,9.7,12.6,28.4,142.3,26.4,115.8,18.6,253.9,115,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Omnivore,Insessorial,
Momotus subrufescens,451,Momotidae,Coraciiformes,AVIBASE-0DB8CE98,1,4,,,,,,,,,,,,,,,,4,1,,,C,,,,,,,,,,,6,2,2,2,4,41.1,28.3,9.3,11.4,28.2,124.3,22.3,100.1,18.2,215,97.1,Updated_literature,Dunning (2021),NO,NA,NA,Forest,1,1,Carnivore,Omnivore,Insessorial,
Monasa flavirostris,452,Bucconidae,Galbuliformes,AVIBASE-0C64158A,0,7,,,,,,,,,,,,,,,,,,,,,7,0,1,,A,,,,,,5,0,3,2,4,28.7,21.2,8,9.3,16.7,107.6,24.2,84.3,22.2,106.2,62.8,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Monasa morphoeus,453,Bucconidae,Galbuliformes,AVIBASE-567942CC,0,11,,,,,,,,,,,,,,,,,,,,,11,0,1,,A,,,,,,6,0,1,5,4,37,25.9,9.1,11.2,19.2,125.5,27.6,98.4,21.9,114.3,87.9,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Monasa nigrifrons,454,Bucconidae,Galbuliformes,AVIBASE-BB158D41,7,6,,,,,,,,,,,,,,,,,,,,,6,7,,,C,,,,,,4,2,2,0,4,37.5,28.1,9.5,12.1,21.2,127.8,21.4,106.3,16.8,118.8,80.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Mustelirallus albicollis,455,Rallidae,Gruiformes,AVIBASE-65A6922D,1,0,,,,,,,,,,,,,,,,,,,,,0,1,,1,B,,,,,,9,2,1,6,4,46.1,36.1,7.9,9.4,32.7,115.5,16.7,108.8,13.2,96.2,100,Dunning,NA,NO,NA,NA,Wetland,1,1,Carnivore,Aquatic predator,Terrestrial,
Mustelirallus colombianus,456,Rallidae,Gruiformes,AVIBASE-E016F3AC,0,3,3,0,1,,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,21.5,10.1,3.4,6.4,28,97,23,74,23.7,30,58.3,Inferred,NA,YES,Body Mass,Mustelirallus erythrops,Wetland,2,2,Carnivore,Aquatic predator,Terrestrial,
Myadestes ralloides,457,Turdidae,Passeriformes,AVIBASE-8FE62CA5,58,4,,,,,,1,33,,,C,0,8,,1,B,,,,,,,,,,,3,17,,,C,56,12,24,20,17,14.8,6.8,4.6,3.7,20.5,84.1,19.6,64.5,23.3,78.2,29.1,Dunning,NA,NO,NA,NA,Forest,1,2,Omnivore,Invertivore,Insessorial,
Myiarchus apicalis,458,Tyrannidae,Passeriformes,AVIBASE-AA902955,15,5,,,,,,0,3,,1,B,,,,,,5,12,,,C,,,,,,,,,,,5,2,3,0,4,21.6,13.7,7.4,5.8,22.3,87.4,7.3,79.4,8.4,88.8,29.2,Dunning,NA,NO,NA,NA,Shrubland,2,1,Omnivore,Invertivore,Insessorial,
Myiarchus cephalotes,459,Tyrannidae,Passeriformes,AVIBASE-C7D1E218,24,6,,,,,,3,4,,,C,3,19,,,C,,,,,,,,,,,0,1,,1,B,21,6,9,6,4,21.7,12.4,6.5,5.7,21.3,88.8,14.4,74.5,16.2,87.4,26.3,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,
Myiarchus crinitus,460,Tyrannidae,Passeriformes,AVIBASE-8D6D5F2B,1,0,,,,,,,,,,,,,,,,0,1,,1,B,,,,,,,,,,,18,4,6,8,4,22.7,15.5,8.5,6.9,21.8,98.8,21.6,79.4,21.4,88.1,32.1,Dunning,NA,NO,NA,NA,Woodland,1,3,Omnivore,Invertivore,Insessorial,
Myiarchus ferox,461,Tyrannidae,Passeriformes,AVIBASE-825CACEF,16,3,,,,,,,,,,,,,,,,,,,,,3,16,,,C,,,,,,24,9,14,1,4,21.7,14.4,7.7,5.8,21.8,85.8,12.2,73.4,14.2,86.9,27.5,Dunning,NA,NO,NA,NA,Forest,2,1,Omnivore,Invertivore,Insessorial,
Myiarchus panamensis,462,Tyrannidae,Passeriformes,AVIBASE-2A2A4A6F,5,0,,,,,,,,,,,,,,,,0,5,,1,B,,,,,,,,,,,7,3,3,1,6,21.6,14.6,7.7,6.4,23,90.4,15.5,74.7,17.2,88.6,31.7,Dunning,NA,NO,NA,NA,Woodland,2,1,Omnivore,Invertivore,Insessorial,
Myiarchus swainsoni,463,Tyrannidae,Passeriformes,AVIBASE-EF21F7B5,0,1,,,,,,,,,,,,,,,,,,,,,1,0,1,,A,,,,,,15,6,8,1,4,20.2,14.6,7,5.7,20.6,88.6,15,73.2,17,82.9,25.1,Dunning,NA,NO,NA,NA,Forest,2,3,Carnivore,Invertivore,Insessorial,
Myiarchus tuberculifer,464,Tyrannidae,Passeriformes,AVIBASE-3D57A982,12,0,,,,,,,,,,,,,,,,,,,,,0,12,,1,B,,,,,,49,10,17,22,10,21.1,12.9,7.1,5.2,20.1,80.4,15.5,66.8,18.8,76.5,17.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Myiobius barbatus,465,Oxyruncidae,Passeriformes,AVIBASE-EC9D7A78,14,9,5,14,,,C,,,,,,,,,,,,,,,,4,0,1,,A,,,,,,15,4,8,3,4,12.9,7,4.3,3.7,14.8,62.5,10.7,52.6,16.8,54.3,11,Updated_literature,BoW,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Myioborus miniatus,466,Parulidae,Passeriformes,AVIBASE-CB8A9437,85,28,,,,,,13,40,,,C,1,35,,,C,,,,,,,,,,,14,10,,,C,66,8,38,20,12,11.9,7,4.1,3.3,17.7,63.6,10.6,52,17,64.9,9,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Myioborus ornatus,467,Parulidae,Passeriformes,AVIBASE-0A4A6CF7,118,22,,,,,,0,1,,1,B,17,104,,,C,,,,,,,,,,,5,13,,,C,21,3,10,8,4,12.3,6.9,4.3,3.7,19.4,68.7,10.3,58.8,14.9,69.7,11.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Myiodynastes chrysocephalus,468,Tyrannidae,Passeriformes,AVIBASE-077E33E3,20,8,,,,,,7,3,,,C,1,15,,,C,,,,,,,,,,,0,2,,1,B,18,7,9,2,4,26.6,17.7,11.1,7.7,18.5,106,22.6,83.8,21.2,89.1,38.3,Dunning,NA,NO,NA,NA,Forest,2,1,Omnivore,Invertivore,Insessorial,
Myiodynastes maculatus,469,Tyrannidae,Passeriformes,AVIBASE-D94C6177,28,0,,,,,,0,1,,1,B,,,,,,0,14,,1,B,0,13,,1,B,,,,,,30,8,16,6,10,26.3,18.3,10.6,8.4,19.6,106.9,22.3,84.1,21,85.5,43.2,Dunning,NA,NO,NA,NA,Forest,2,3,Carnivore,Invertivore,Insessorial,
Myiopagis caniceps,470,Tyrannidae,Passeriformes,AVIBASE-C3AAABEF,1,0,0,1,,1,B,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,4,0,5,11.5,6.9,3.5,3.1,16.3,58.5,11.1,49,18.5,50.6,10.5,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Myiopagis gaimardii,471,Tyrannidae,Passeriformes,AVIBASE-54EC5236,6,0,,,,,,,,,,,,,,,,0,5,,1,B,0,1,,1,B,,,,,,7,2,4,1,4,11.3,6.9,3.9,3.2,17.8,57.3,10.3,46.1,18.4,52.8,12,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Myiopagis viridicata,472,Tyrannidae,Passeriformes,AVIBASE-F219499B,14,3,,,,,,,,,,,,,,,,3,14,,,C,,,,,,,,,,,18,7,8,3,8,11.8,7.1,3.8,3.6,16.9,60,11.3,47.8,19,55.3,11.5,Dunning,NA,NO,NA,NA,Forest,2,3,Omnivore,Invertivore,Insessorial,
Myiophobus fasciatus,473,Tyrannidae,Passeriformes,AVIBASE-83BB46D7,3,0,0,2,,1,B,,,,,,,,,,,0,1,,1,B,,,,,,,,,,,39,12,13,14,8,13.6,7.4,5.1,3.6,16.5,59.1,10.9,48.4,18.4,54.2,9.9,Dunning,NA,NO,NA,NA,Shrubland,2,3,Carnivore,Invertivore,Insessorial,
Myiophobus flavicans,474,Tyrannidae,Passeriformes,AVIBASE-5D79CB29,10,6,,,,,,0,2,,1,B,2,5,,,C,,,,,,,,,,,4,3,,,C,8,2,3,3,4,13.9,6.7,4.2,3.4,17.8,68,11.8,56.1,17.3,55.8,12.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Myiornis atricapillus,475,Tyrannidae,Passeriformes,AVIBASE-F238A131,10,1,1,10,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3,0,4,11.7,7.2,3.8,2.9,12.8,34.5,5.2,29.3,14.9,16.1,5.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Myiotheretes fumigatus,476,Tyrannidae,Passeriformes,AVIBASE-0E03869D,4,4,,,,,,,,,,,4,1,,,C,,,,,,,,,,,0,3,,1,B,11,1,6,4,4,23.7,13.4,7.1,5.3,23.4,110.1,23.6,86.5,21.4,84.8,33.4,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,
Myiotheretes striaticollis,477,Tyrannidae,Passeriformes,AVIBASE-8200F58C,9,0,,,,,,,,,,,0,9,,1,B,,,,,,,,,,,,,,,,15,3,7,5,4,27.4,16.1,8.2,6.9,25.3,140.1,36.2,103.7,25.8,98.8,61.2,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Insessorial,
Myiothlypis bivittata,478,Parulidae,Passeriformes,AVIBASE-57507009,0,2,2,0,1,,A,,,,,,,,,,,,,,,,,,,,,,,,,,46,12,15,19,22,14.6,7.8,4,4,22.2,64.7,9.3,55.4,14.3,60.2,14.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Myiothlypis coronata,479,Parulidae,Passeriformes,AVIBASE-99F5D09F,42,12,,,,,,1,14,,,C,3,19,,,C,,,,,,,,,,,8,9,,,C,78,11,9,58,18,15.2,7.7,4.3,4.2,22.7,68.3,9.9,58.6,14.4,61.3,16.3,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Myiothlypis fulvicauda,480,Parulidae,Passeriformes,AVIBASE-0232E9DC,14,12,12,6,,,C,,,,,,,,,,,0,8,,1,B,,,,,,,,,,,19,4,4,11,4,14.3,8.6,4.5,3.9,22.5,63.3,9.8,54.5,15.3,49.7,14.9,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,
Myiothlypis luteoviridis,481,Parulidae,Passeriformes,AVIBASE-9F080871,6,2,,,,,,,,,,,2,0,1,,A,,,,,,,,,,,0,6,,1,B,78,24,18,36,25,15.4,7.3,4.1,3.9,23,66.5,8.8,57.5,13.4,63.9,12.9,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Myiothlypis nigrocristata,482,Parulidae,Passeriformes,AVIBASE-3D4F2A70,35,4,,,,,,,,,,,0,10,,1,B,,,,,,,,,,,4,25,,,C,13,5,6,2,4,14.4,8.1,4.8,3.9,22.5,61.5,5.9,55.6,9.6,58.2,13.6,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,
