Species,ID,Family2,Order2,Avibase.ID2,MODERN,HISTORICAL,BARB_H,BARB_M,BARB_EXT,BARB_NEW,POP_BARB,SAGU_H,SAGU_M,SAGU_EXT,SAGU_NEW,POP_SAGU,TOCHE_H,TOCHE_M,TOCHE_EXT,TOCHE_NEW,POP_TOCHE,HON_H,HON_M,HON_EXT,HON_NEW,POP_HON,FLOR_H,FLOR_M,FLOR_EXT,FLOR_NEW,POP_FLOR,FUSA_H,FUSA_M,FUSA_EXT,FUSA_NEW,POP_FUSA,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Previo_nombre
Schistochlamys melanopis,673,Thraupidae,Passeriformes,AVIBASE-C78F3803,2,0,,,,,,,,,,,,,,,,,,,,,0,2,,1,B,,,,,,14,6,7,1,4,16.8,10.2,6.6,8.4,22.9,83.9,12.4,71.4,14.7,79.8,33,Dunning,NA,NO,NA,NA,Shrubland,2,2,Herbivore,Omnivore,Insessorial,
Sclerurus caudacutus,674,Furnariidae,Passeriformes,AVIBASE-68408033,0,5,,,,,,,,,,,,,,,,,,,,,5,0,1,,A,,,,,,17,4,8,5,4,23.9,15.6,4.2,4.9,22.6,90,15.7,74.7,17.4,63.4,36.2,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,
Scytalopus atratus,675,Rhinocryptidae,Passeriformes,AVIBASE-7CD6AF48,2,3,,,,,,2,1,,,C,1,1,,,C,,,,,,,,,,,,,,,,5,2,2,1,4,15.3,7.4,3.4,3.9,23.3,55,4.4,50.8,8.2,43.9,25.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Generalist,
Scytalopus griseicollis,676,Rhinocryptidae,Passeriformes,AVIBASE-34FF09E8,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,,A,5,2,3,0,4,11.9,6.7,3.3,3.5,22.3,52.6,6.8,45.6,13,39.8,18.1,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Terrestrial,
Scytalopus latrans,677,Rhinocryptidae,Passeriformes,AVIBASE-058E0536,40,4,,,,,,0,8,,1,B,1,18,,,C,,,,,,,,,,,3,14,,,C,16,3,10,3,4,14.4,6.6,2.7,3.2,21.4,55.9,6.9,50.4,12.2,40.1,17.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,
Scytalopus micropterus,678,Rhinocryptidae,Passeriformes,AVIBASE-5C045427,2,7,,,,,,6,2,,,C,1,0,1,,A,,,,,,,,,,,,,,,,13,5,5,3,7,16,8.4,3.6,4.4,23.7,60.7,4.1,57,6.8,51.2,29.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Generalist,
Scytalopus rodriguezi,679,Rhinocryptidae,Passeriformes,AVIBASE-44F1FA5E,1,0,,,,,,0,1,,1,B,,,,,,,,,,,,,,,,,,,,,5,2,3,0,5,14.3,8.5,3.4,3.9,21.3,54.8,5,49.8,9.2,43.3,21.6,Dunning,NA,NO,NA,NA,NA,1,1,Carnivore,Invertivore,Generalist,
Scytalopus speluncae,680,Rhinocryptidae,Passeriformes,AVIBASE-4A5821A9,0,6,,,,,,,,,,,2,0,1,,A,,,,,,,,,,,4,0,1,,A,11,5,6,0,5,10.9,6.2,2.9,3.1,19.1,50.2,5.4,45.6,10.9,43,13,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,
Scytalopus spillmanni,681,Rhinocryptidae,Passeriformes,AVIBASE-20768B0C,57,0,,,,,,0,9,,1,B,0,42,,1,B,,,,,,,,,,,0,6,,1,B,7,0,2,5,3,14.7,8.8,3.4,4,23.8,58.9,3.9,55,6.7,44.1,23.5,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Generalist,
Selenidera reinwardtii,682,Ramphastidae,Piciformes,AVIBASE-6AAA6132,0,4,,,,,,,,,,,,,,,,,,,,,4,0,1,,A,,,,,,14,7,7,0,8,61.4,53,19.7,23,31.1,126.3,20.9,105.4,16.5,104.5,161.8,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Frugivore,Insessorial,
