Species;ID;Family2;Order2;Avibase.ID2;MODERN;HISTORICAL;MIR_H_corr;MIR_M;MIR_M_LOST;MIR_EXT;MIR_EXT_1_2;MIR_NEW;POP_MIR;BARB_H_corr;BARB_M;BARB_M_LOST;BARB_EXT;BARB_EXT_1_2;BARB_NEW;POP_BARB;POP_BARB_SOLO_EXT;SAGU_H_corr;SAGU_M;SAGU_M_LOST;SAGU_EXT;SAGU_EXT_1_2;SAGU_NEW;POP_SAGU;TOCHE_H_corr;TOCHE_M;TOCHE_M_LOST;TOCHE_EXT;TOCHE_EXT_1_2;TOCHE_NEW;POP_TOCHE;HON_H_corr;HON_M;HON_M_LOST;HON_EXT;HON_EXT_1_2;HON_NEW;POP_HON;FLOR_H_corr;FLOR_M;FLOR_M_LOST;FLOR_EXT;FLOR_EXT_1_2;FLOR_NEW;POP_FLOR;FUSA_H_corr;FUSA_M;FUSA_M_LOST;FUSA_EXT;FUSA_EXT_1_2;FUSA_NEW;POP_FUSA;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand.Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;EXTINCT;Extinct shared
Anthocephala berlepschi;33;Trochilidae;Caprimulgiformes;AVIBASE-C072BD0D;12;1;;;;;;;;;;;;;;;;0;7;;;;1;B;1;5;5;;;;C;;;;;;;;;;;;;;;;;;;;;;6;2;3;1;5;19.2;16.9;1.3;1.1;4.4;51.4;33;18.2;64.5;32.6;3.9;DataFromSplit;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;0;0
Anthracothorax nigricollis;34;Trochilidae;Caprimulgiformes;AVIBASE-36FEAD7A;3;1;;;;;;;;;;;;;;;;0;1;;;;1;B;;;;;;;;1;1;1;3;;;C;0;1;;;;1;B;;;;;;;;27;10;13;4;6;25.7;20.8;2.4;2.4;4.5;66.3;41.2;23;64.1;37.2;7;Dunning;NA;NO;NA;NA;Shrubland;2;1;Herbivore;Nectarivore;Aerial;0;0
Anurolimnas castaneiceps;35;Rallidae;Gruiformes;AVIBASE-2A9074F9;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;;1;1;;A;;;;;;;;5;2;0;3;4;26.5;12.1;4.6;6.7;51.9;110.6;9.8;99.2;9;26.6;126;Dunning;NA;NO;NA;NA;Human Modified;1;1;Carnivore;Invertivore;Terrestrial;1;1
Anurolimnas fasciatus;36;Rallidae;Gruiformes;AVIBASE-BE9214E6;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;2;1;;A;;;;;;;;4;1;2;1;4;19.5;10.7;3.7;5.8;38.3;91.8;12.1;79.7;13.2;26.5;69;EltonTraits_Model;NA;NO;NA;NA;Forest;1;1;Carnivore;Aquatic predator;Terrestrial;1;1
Ara ararauna;37;Psittacidae;Psittaciformes;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;3;;;C;;;;;;;;13;6;3;4;8;66;61.9;30.2;55.1;31.9;381.3;115.4;264.6;30.1;492.5;1125;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Omnivore;Insessorial;0;0
Ara severus;38;Psittacidae;Psittaciformes;AVIBASE-25BE1729;16;5;2;1;1;3;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;15;15;;;;C;1;0;;2;1;;A;15;4;7;4;8;39.7;36.1;20.5;36.9;20.7;239.4;86.3;153.3;35.9;242.6;343;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Omnivore;Insessorial;1;1
Aramides cajaneus;39;Rallidae;Gruiformes;AVIBASE-A52752EF;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;;;;1;B;;;;;;;;;;;;;;;7;3;2;2;5;51.3;27.9;5.3;11.1;63;178.7;20.8;157.9;11.6;62.8;397;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Aquatic predator;Terrestrial;0;0
Ardea alba;40;Ardeidae;Pelecaniformes;AVIBASE-49D9148A;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;3;;;;1;B;1;1;1;3;;;C;;;;;;;;16;4;7;5;8;126.3;90.4;12;18.1;141.6;378.8;120.7;257.2;32.1;140.5;871.3;Dunning;NA;NO;NA;NA;Wetland;3;2;Carnivore;Aquatic predator;Terrestrial;0;0
Ardea cocoi;41;Ardeidae;Pelecaniformes;AVIBASE-B49AB613;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;;;;1;B;;;;;;;;;;;;;;;9;0;3;6;4;146.9;120.1;18.7;28.2;186.4;466.3;147.5;316.5;31.8;178.3;1752.4;Dunning;NA;NO;NA;NA;Wetland;3;1;Carnivore;Aquatic predator;Terrestrial;0;0
Arremon assimilis;42;Passerellidae;Passeriformes;AVIBASE-296CB63F;11;10;;;;;;;;;;;;;;;;;;;;;;;8;1;1;3;;;C;;;;;;;;;;;;;;;2;10;10;;;;C;22;3;7;12;4;18.6;11.9;6.3;7.3;27.8;83.6;7.7;79.8;8.8;84.9;39;Updated_literature;Dunning (2021);NO;NA;NA;Forest;1;1;Omnivore;Omnivore;Generalist;0;0
