Species;ID;Family2;Order2;Avibase.ID2;MODERN;HISTORICAL;MIR_H_corr;MIR_M;MIR_M_LOST;MIR_EXT;MIR_EXT_1_2;MIR_NEW;POP_MIR;BARB_H_corr;BARB_M;BARB_M_LOST;BARB_EXT;BARB_EXT_1_2;BARB_NEW;POP_BARB;POP_BARB_SOLO_EXT;SAGU_H_corr;SAGU_M;SAGU_M_LOST;SAGU_EXT;SAGU_EXT_1_2;SAGU_NEW;POP_SAGU;TOCHE_H_corr;TOCHE_M;TOCHE_M_LOST;TOCHE_EXT;TOCHE_EXT_1_2;TOCHE_NEW;POP_TOCHE;HON_H_corr;HON_M;HON_M_LOST;HON_EXT;HON_EXT_1_2;HON_NEW;POP_HON;FLOR_H_corr;FLOR_M;FLOR_M_LOST;FLOR_EXT;FLOR_EXT_1_2;FLOR_NEW;POP_FLOR;FUSA_H_corr;FUSA_M;FUSA_M_LOST;FUSA_EXT;FUSA_EXT_1_2;FUSA_NEW;POP_FUSA;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand.Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;EXTINCT;Extinct shared
Ramphotrigon megacephalum;653;Tyrannidae;Passeriformes;AVIBASE-3955CDE6;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;1;B;;;;;;;;5;2;2;1;4;14;8.3;5.6;4.1;15.8;59;8.6;50.4;14.6;55.6;14.2;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Rhynchocyclus fulvipectus;654;Tyrannidae;Passeriformes;AVIBASE-B8F480C4;1;2;;;;;;;;;;;;;;;;1;1;1;3;;;C;;;;;;;;;;;;;;;;;;;;;;1;0;;2;1;;A;9;2;4;3;4;16.5;9;8.3;5.1;18.9;77.2;11.6;65.9;15.1;70.2;23.1;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;1;1
Rhynchocyclus olivaceus;655;Tyrannidae;Passeriformes;AVIBASE-DF0D4F47;5;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;5;5;;;;C;;;;;;;;22;6;7;9;4;16.6;10;8.9;5.7;18;73.9;10.7;60.1;15.2;64.1;21.3;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Rhynchocyclus pacificus;656;Tyrannidae;Passeriformes;AVIBASE-BD2E79A9;5;2;;;;;;;;2;5;5;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;1;0;4;19.4;10;9.2;5.7;18.6;78.6;12.2;66.4;15.7;66.2;25;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Rhynchortyx cinctus;657;Odontophoridae;Galliformes;AVIBASE-8A792FFC;2;2;;;;;;;;2;2;2;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;4;0;4;15.5;9.9;7.9;11.1;31.6;110.2;39.6;69.7;36.2;45.6;150;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Omnivore;Terrestrial;0;0
Rhytipterna holerythra;658;Tyrannidae;Passeriformes;AVIBASE-229BCEE1;1;0;;;;;;;;0;1;;;;1;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;10;11;0;4;22.7;13.5;7.1;6.3;23.6;103.1;16.9;85.4;16.5;92.6;36.8;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Rhytipterna simplex;659;Tyrannidae;Passeriformes;AVIBASE-DB5BFD24;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;2;1;;A;;;;;;;;28;13;14;1;4;22.7;13.5;7.1;6.4;21.3;96.8;16;79.5;16.8;95.3;31.8;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;1;1
Riparia riparia;660;Hirundinidae;Passeriformes;AVIBASE-94A1C447;3;0;;;;;;;;0;3;;;;1;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;8;17;1;4;9.4;5;3.7;2.5;10.5;101.8;54;47.9;53;47.2;12.7;Dunning;NA;NO;NA;NA;Riverine;3;3;Carnivore;Invertivore;Aerial;0;0
Rupicola peruvianus;661;Cotingidae;Passeriformes;AVIBASE-33440684;2;81;;;;;;;;;;;;;;;;81;2;2;;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;5;8;1;6;31;15.4;8.8;12.4;36.7;183.5;21.7;162.2;11.6;120.3;242.5;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Frugivore;Insessorial;0;0
Rupornis magnirostris;662;Accipitridae;Accipitriformes;AVIBASE-C39CC0F2;74;4;1;2;2;;;;C;0;10;;;;1;B;B;1;16;16;;;;C;0;13;;;;1;B;0;9;;;;1;B;2;21;21;;;;C;0;3;;;;1;B;35;16;13;6;4;26.4;17.4;10.4;13.4;61.5;220.9;64.9;164.6;28;159.1;269;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Vertivore;Insessorial;0;0
Saltator atripennis;663;Thraupidae;Passeriformes;AVIBASE-A51E5593;7;10;4;3;3;;;;C;1;1;1;3;;;C;C;;;;;;;;0;2;;;;1;B;;;;;;;;;;;;;;;5;1;1;3;;;C;11;3;4;4;4;21.5;13.9;9.2;11;24.2;102.5;12.9;87.8;12.8;99;55;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Frugivore;Insessorial;0;0
Saltator coerulescens;664;Thraupidae;Passeriformes;AVIBASE-6D75BBB8;5;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;;;;1;B;4;3;3;;;;C;;;;;;;;17;8;9;0;4;22.3;13.9;8.8;11;26.8;100.7;14.6;86.2;14.5;95.5;54.9;Dunning;NA;NO;NA;NA;Human Modified;2;1;Herbivore;Omnivore;Insessorial;0;0
Saltator grossus;665;Thraupidae;Passeriformes;AVIBASE-1D797D4D;4;10;;;;;;;;10;4;4;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;7;6;0;4;21.4;14.1;10.3;13.7;23.7;96.1;17.9;78.6;18.6;87.4;44.2;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Omnivore;Insessorial;0;0
Saltator maximus;666;Thraupidae;Passeriformes;AVIBASE-8A80DE66;41;10;;;;;;;;5;14;14;;;;C;C;;;;;;;;;;;;;;;0;9;;;;1;B;5;18;18;;;;C;;;;;;;;51;12;18;21;4;20.7;14.7;8.9;10.4;25.3;96.1;16.1;79.2;16.9;88.9;47.6;Dunning;NA;NO;NA;NA;Shrubland;2;1;Herbivore;Frugivore;Insessorial;0;0
Saltator striatipectus;667;Thraupidae;Passeriformes;AVIBASE-4875898E;49;32;11;8;8;;;;C;;;;;;;;;11;13;13;;;;C;1;1;1;3;;;C;7;26;26;;;;C;;;;;;;;2;1;1;3;;;C;29;3;2;24;4;19.5;13.1;8.6;11.8;27.3;90.8;13.9;77.6;15.3;87.4;39;Dunning;NA;NO;NA;NA;Shrubland;2;1;Omnivore;Omnivore;Insessorial;0;0
Sapayoa aenigma;668;Sapayoidae;Passeriformes;AVIBASE-D2A3B070;5;5;;;;;;;;5;5;5;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;2;1;4;16.8;10.3;7.7;5;14.5;80.2;15.2;65;19;61.5;20.8;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Omnivore;Insessorial;0;0
Saucerottia cyanifrons;669;Trochilidae;Caprimulgiformes;AVIBASE-E9468157;17;0;;;;;;;;;;;;;;;;0;15;;;;1;B;;;;;;;;;;;;;;;;;;;;;;0;2;;;;1;B;4;0;0;4;4;20.3;15.2;2.3;1.7;5.6;56;35.6;20.4;63.5;35.2;5;Dunning;NA;NO;NA;NA;Woodland;2;1;Herbivore;Nectarivore;Aerial;0;0
Saucerottia saucerottei;670;Trochilidae;Caprimulgiformes;AVIBASE-D51213D3;10;7;7;10;10;;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;8;22;19;0;20.7;16.4;2.8;2.3;4.8;51.2;34.2;18.3;65.1;30.9;4.5;Dunning;NA;YES;"Beak Nares; Kipp's Distance; Secondary1; Hand-Wing Index";Saucerottia hoffmanni;Shrubland;2;1;Herbivore;Nectarivore;Aerial;0;0
Sayornis nigricans;671;Tyrannidae;Passeriformes;AVIBASE-B182DED2;4;5;;;;;;;;;;;;;;;;1;1;1;3;;;C;4;3;3;;;;C;;;;;;;;;;;;;;;;;;;;;;23;10;10;3;4;18.1;9.9;5.9;4;17.4;86.3;19.4;68.9;22;77.2;18.6;Dunning;NA;NO;NA;NA;Rock;2;1;Carnivore;Invertivore;Insessorial;0;0
Schiffornis major;672;Tityridae;Passeriformes;AVIBASE-FDC79991;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;;;;1;B;;;;;;;;3;1;2;0;3;15.9;9.4;4.8;5.4;18.8;78.3;9.3;69;11.7;55.3;31;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Frugivore;Insessorial;0;0
Schiffornis stenorhyncha;673;Tityridae;Passeriformes;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;1;1;;A;;;;;;;;;;;;;;;6;4;2;0;0;17;10.3;5.2;5.9;21.6;88.8;14.1;74.5;15.9;75;31.7;DataFromSplit;NA;YES;"Beak Culmen; Kipp's Distance; Secondary1; Hand-Wing Index";Schiffornis turdina;Forest;1;1;Omnivore;Omnivore;Insessorial;1;1
Schiffornis veraepacis;674;Tityridae;Passeriformes;AVIBASE-BB758322;0;1;;;;;;;;1;0;;2;1;;A;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;2;6;2;0;21.2;10.4;5.3;5.7;21.1;87.3;15.8;71.4;18;70.2;31.1;Updated_literature;Dunning (2021);NO;NA;NA;Forest;1;1;Omnivore;Omnivore;Insessorial;1;1
Schistes albogularis;675;Trochilidae;Caprimulgiformes;AVIBASE-DBD9E3FF;5;1;1;1;1;3;;;C;;;;;;;;;0;4;;;;1;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;5;4;2;7;17.7;14;1.8;1.6;4.7;55.2;33.8;21.8;60.9;30.9;3.6;DataFromSplit;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;0;0
Schistes geoffroyi;676;Trochilidae;Caprimulgiformes;AVIBASE-1638D555;1;2;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;1;B;;;;;;;;;;;;;;;2;0;;2;1;;A;14;4;7;3;7;17.1;11.7;2.5;2.1;5.4;49.1;30.6;17.8;63.4;34.8;3.6;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;1;1
Schistochlamys melanopis;677;Thraupidae;Passeriformes;AVIBASE-C78F3803;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;;;;1;B;;;;;;;;14;6;7;1;4;16.8;10.2;6.6;8.4;22.9;83.9;12.4;71.4;14.7;79.8;33;Dunning;NA;NO;NA;NA;Shrubland;2;2;Herbivore;Omnivore;Insessorial;0;0
Sclerurus caudacutus;678;Furnariidae;Passeriformes;AVIBASE-68408033;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;0;;1;1;;A;;;;;;;;17;4;8;5;4;23.9;15.6;4.2;4.9;22.6;90;15.7;74.7;17.4;63.4;36.2;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Terrestrial;1;1
Scytalopus atratus;679;Rhinocryptidae;Passeriformes;AVIBASE-7CD6AF48;2;3;;;;;;;;;;;;;;;;2;1;1;;;;C;1;1;1;;;;C;;;;;;;;;;;;;;;;;;;;;;5;2;2;1;4;15.3;7.4;3.4;3.9;23.3;55;4.4;50.8;8.2;43.9;25.7;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Generalist;0;0
Scytalopus griseicollis;680;Rhinocryptidae;Passeriformes;AVIBASE-34FF09E8;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;1;3;;;C;5;2;3;0;4;11.9;6.7;3.3;3.5;22.3;52.6;6.8;45.6;13;39.8;18.1;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Terrestrial;0;0
Scytalopus latrans;681;Rhinocryptidae;Passeriformes;AVIBASE-058E0536;41;9;1;1;1;3;;;C;;;;;;;;;0;8;;;;1;B;1;18;18;;;;C;;;;;;;;;;;;;;;7;14;14;;;;C;16;3;10;3;4;14.4;6.6;2.7;3.2;21.4;55.9;6.9;50.4;12.2;40.1;17.6;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Terrestrial;0;0
Scytalopus micropterus;682;Rhinocryptidae;Passeriformes;AVIBASE-5C045427;2;7;;;;;;;;;;;;;;;;6;2;2;;;;C;1;0;;1;1;;A;;;;;;;;;;;;;;;;;;;;;;13;5;5;3;7;16;8.4;3.6;4.4;23.7;60.7;4.1;57;6.8;51.2;29.7;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Generalist;1;1
Scytalopus rodriguezi;683;Rhinocryptidae;Passeriformes;AVIBASE-44F1FA5E;1;0;;;;;;;;;;;;;;;;0;1;;;;1;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2;3;0;5;14.3;8.5;3.4;3.9;21.3;54.8;5;49.8;9.2;43.3;21.6;Dunning;NA;NO;NA;NA;NA;1;1;Carnivore;Invertivore;Generalist;0;0
Scytalopus speluncae;684;Rhinocryptidae;Passeriformes;AVIBASE-4A5821A9;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;5;6;0;5;10.9;6.2;2.9;3.1;19.1;50.2;5.4;45.6;10.9;43;13;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Terrestrial;0;0
Scytalopus spillmanni;685;Rhinocryptidae;Passeriformes;AVIBASE-20768B0C;58;2;2;1;1;3;;;C;;;;;;;;;0;9;;;;1;B;0;42;;;;1;B;;;;;;;;;;;;;;;0;6;;;;1;B;7;0;2;5;3;14.7;8.8;3.4;4;23.8;58.9;3.9;55;6.7;44.1;23.5;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Generalist;0;0
Selenidera reinwardtii;686;Ramphastidae;Piciformes;AVIBASE-6AAA6132;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;0;;2;1;;A;;;;;;;;14;7;7;0;8;61.4;53;19.7;23;31.1;126.3;20.9;105.4;16.5;104.5;161.8;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Frugivore;Insessorial;1;1
Sericossypha albocristata;687;Thraupidae;Passeriformes;AVIBASE-961A51A7;20;0;;;;;;;;;;;;;;;;;;;;;;;0;20;;;;1;B;;;;;;;;;;;;;;;;;;;;;;10;5;5;0;4;25.2;14.8;6.4;7.7;25.4;136.3;35.3;101.2;25.9;93;114;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Omnivore;Insessorial;0;0
Serpophaga cinerea;688;Tyrannidae;Passeriformes;AVIBASE-F42A1296;6;9;;;;;;;;;;;;;;;;3;1;1;3;;;C;4;4;4;;;;C;;;;;;;;;;;;;;;2;1;1;3;;;C;9;4;5;0;4;12.2;5.7;3;2.7;16.7;56.1;8.6;47.5;15.4;47.7;8.3;Dunning;NA;NO;NA;NA;Riverine;3;1;Carnivore;Invertivore;Insessorial;0;0
Setophaga castanea;689;Parulidae;Passeriformes;AVIBASE-10C601D3;6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;6;6;;;;C;;;;;;;;;;;;;;;16;5;6;5;4;13.5;7.9;3.8;3.8;19.1;69.9;22;50.2;30.6;51.6;11.8;Dunning;NA;NO;NA;NA;Forest;1;3;Omnivore;Invertivore;Insessorial;0;0
Setophaga fusca;690;Parulidae;Passeriformes;AVIBASE-4168AF09;23;8;2;1;1;3;;;C;;;;;;;;;2;1;1;;;;C;1;1;1;3;;;C;1;8;8;;;;C;;;;;;;;2;12;12;;;;C;44;20;18;6;4;12.3;8;3.5;3.5;17.6;65.7;21.9;45.6;32.4;47.2;9.7;Dunning;NA;NO;NA;NA;Forest;1;3;Carnivore;Invertivore;Insessorial;0;0
Setophaga petechia;691;Parulidae;Passeriformes;AVIBASE-A6C0C4A9;17;6;;;;;;;;2;12;12;;;;C;C;1;1;1;3;;;C;;;;;;;;3;4;4;;;;C;;;;;;;;;;;;;;;92;45;24;23;8;11.7;8;3.4;3.2;20;60.2;14.1;45.7;23.6;43.3;10.2;Dunning;NA;NO;NA;NA;Shrubland;1;3;Carnivore;Invertivore;Insessorial;0;0
Setophaga pitiayumi;692;Parulidae;Passeriformes;AVIBASE-4926BC8C;8;7;6;3;3;;;;C;;;;;;;;;1;3;3;;;;C;0;2;;;;1;B;;;;;;;;;;;;;;;;;;;;;;42;11;30;1;4;12;7.5;3;3.2;16.1;52.7;10.8;42.7;20.1;41.1;6.8;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;0;0
Setophaga ruticilla;693;Parulidae;Passeriformes;AVIBASE-BED38F50;1;4;;;;;;;;1;0;;2;1;;A;C;;;;;;;;;;;;;;;3;1;1;;;;C;;;;;;;;;;;;;;;35;18;16;1;6;12.3;6.8;4;3;17;62;15.6;48;24.6;52.6;8.2;Dunning;NA;NO;NA;NA;Forest;1;3;Carnivore;Invertivore;Insessorial;1;1
Sicalis flaveola;694;Thraupidae;Passeriformes;AVIBASE-A5AA0BEC;45;0;0;1;;;;1;B;;;;;;;;;0;14;;;;1;B;;;;;;;;0;24;;;;1;B;0;6;;;;1;B;;;;;;;;23;4;13;6;4;11.2;8.3;5.4;7;19.5;69.5;14.5;55.8;20.6;53.4;16.9;Dunning;NA;NO;NA;NA;Shrubland;2;1;Herbivore;Granivore;Terrestrial;0;0
Sicalis luteola;695;Thraupidae;Passeriformes;AVIBASE-85C6D2E5;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;1;B;21;6;14;1;4;9.3;7;4.6;6.2;14.7;67;14.1;52.7;21.1;45.4;15.9;Dunning;NA;NO;NA;NA;Grassland;3;2;Herbivore;Granivore;Terrestrial;0;0
Sipia berlepschi;696;Thamnophilidae;Passeriformes;AVIBASE-C68B58B6;13;16;;;;;;;;16;13;13;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;4;0;0;21.5;12.6;5.1;5.5;25.6;64.3;5.2;58.4;8.2;43.9;25.6;Updated_live.sample;Live sample (museum data);NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Generalist;0;0
Sipia palliata;697;Thamnophilidae;Passeriformes;AVIBASE-E492E478;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;3;;;;1;B;;;;;;;;;;;;;;;8;2;6;0;4;20.4;11.6;4.6;4.7;26.7;66.7;7;59.8;10.3;45.7;25;DataFromSplit;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Generalist;0;0
Siptornis striaticollis;698;Furnariidae;Passeriformes;AVIBASE-8650D477;1;2;;;;;;;;;;;;;;;;1;1;1;3;;;C;;;;;;;;;;;;;;;;;;;;;;1;0;;1;1;;A;8;1;4;3;4;11.8;7.4;2.6;3;16.5;62.4;14.1;48.3;22.8;50.6;13;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;1;1
Sphenopsis frontalis;699;Thraupidae;Passeriformes;AVIBASE-0539220A;27;8;2;1;1;3;;;C;;;;;;;;;0;7;;;;1;B;2;11;11;;;;C;;;;;;;;;;;;;;;4;8;8;;;;C;23;1;4;18;7;16.1;8.8;4.5;5.1;20.5;70.7;10.2;59.3;14.8;65.1;17;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Sphenopsis melanotis;700;Thraupidae;Passeriformes;AVIBASE-B9B8DA6F;9;3;;;;;;;;;;;;;;;;;;;;;;;0;8;;;;1;B;;;;;;;;;;;;;;;3;1;1;3;;;C;33;7;6;20;13;15.7;8.4;4.3;5;20.8;68.9;8.9;58;13.4;63.5;16;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Spinus magellanicus;701;Fringillidae;Passeriformes;AVIBASE-77CB59D7;6;0;;;;;;;;;;;;;;;;;;;;;;;0;6;;;;1;B;;;;;;;;;;;;;;;;;;;;;;11;4;6;1;5;12;8.8;4.6;6.5;13.9;69.5;18.5;49.9;27.2;44.4;13.6;Dunning;NA;NO;NA;NA;Shrubland;3;1;Herbivore;Granivore;Insessorial;0;0
Spinus psaltria;702;Fringillidae;Passeriformes;AVIBASE-CD5C21CA;14;14;5;5;5;;;;C;;;;;;;;;5;6;6;;;;C;1;1;1;3;;;C;2;1;1;3;;;C;;;;;;;;1;1;1;3;;;C;40;11;24;5;8;10.2;7.8;4.7;6.3;12.4;60.9;16.2;46.2;26;40.4;8.8;Dunning;NA;NO;NA;NA;Shrubland;2;1;Herbivore;Granivore;Insessorial;0;0
Spinus spinescens;703;Fringillidae;Passeriformes;AVIBASE-56FF55E5;28;2;;;;;;;;;;;;;;;;;;;;;;;0;2;;;;1;B;;;;;;;;;;;;;;;2;26;26;;;;C;3;2;0;1;0;11.1;8;4.8;5.7;12.7;63;16.6;45.3;26.8;47.3;11.3;Dunning;NA;YES;Beak Nares;;;;;;;;0;0
Spinus xanthogastrus;704;Fringillidae;Passeriformes;AVIBASE-8E56A1C6;2;1;0;1;;;;1;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;3;;;C;9;3;4;2;4;10.5;7.8;4.3;5.8;13.5;65.2;18.9;46.1;29.1;40.5;12.7;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Granivore;Insessorial;0;0
Spizaetus isidori;705;Accipitridae;Accipitriformes;AVIBASE-D31EE719;1;0;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;1;B;;;;;;;;;;;;;;;;;;;;;;5;1;3;1;4;51.3;33.2;15.9;25.8;113.4;484.4;120.1;376.2;24.2;299;1197.4;Inferred;NA;YES;Body Mass;Spizaetus ornatus;Forest;1;1;Carnivore;Vertivore;Aerial;0;0
Spizaetus ornatus;706;Accipitridae;Accipitriformes;AVIBASE-EA4FB522;1;0;;;;;;;;0;1;;;;1;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;3;4;1;7;39.1;23.7;12.3;20.2;93.8;353;59.1;287.3;17.2;289.5;1197.4;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Vertivore;Generalist;0;0
Spizaetus tyrannus;707;Accipitridae;Accipitriformes;AVIBASE-7680293A;2;0;;;;;;;;0;2;;;;1;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;0;2;3;4;42.3;24.9;12.1;21;80.4;384.4;68.6;315.6;17.9;334.4;1007.1;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Vertivore;Insessorial;0;0
Spodiornis rusticus;708;Thraupidae;Passeriformes;AVIBASE-48CC8086;3;0;;;;;;;;;;;;;;;;;;;;;;;0;3;;;;1;B;;;;;;;;;;;;;;;;;;;;;;50;34;16;0;4;13.7;8.8;4.6;6.1;19.4;66.4;13.7;52.5;20.7;47.9;15.6;Dunning;NA;NO;NA;NA;Forest;1;2;Herbivore;Granivore;Insessorial;0;0
Sporathraupis cyanocephala;709;Thraupidae;Passeriformes;AVIBASE-E97657AA;25;2;;;;;;;;;;;;;;;;0;1;;;;1;B;0;7;;;;1;B;;;;;;;;;;;;;;;2;17;17;;;;C;56;10;10;36;37;17;9.1;6;6.7;24;85.8;14.8;70.6;17.4;80.6;36;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Frugivore;Insessorial;0;0
Sporophila angolensis;710;Thraupidae;Passeriformes;AVIBASE-8F23E84F;17;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;17;;;;1;B;;;;;;;;31;12;17;2;4;12.9;9.4;6.8;10;16;57.7;8.9;48.4;15.5;51.9;13;Dunning;NA;NO;NA;NA;Shrubland;2;1;Omnivore;Granivore;Insessorial;0;0
Sporophila castaneiventris;711;Thraupidae;Passeriformes;AVIBASE-96F2444F;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;;;;C;;;;;;;;4;2;2;0;4;11;6.9;4.6;5.7;13.8;48.5;8.2;40.3;16.8;37.5;7.8;Dunning;NA;NO;NA;NA;Shrubland;2;1;Herbivore;Granivore;Insessorial;0;0
Sporophila corvina;712;Thraupidae;Passeriformes;AVIBASE-53BF86BF;25;6;;;;;;;;6;25;25;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;13;21;6;4;10.7;7;5.3;7.3;17.3;52.7;9.6;44.4;17.8;42.7;10.6;Dunning;NA;NO;NA;NA;Human Modified;2;2;Herbivore;Granivore;Insessorial;0;0
Sporophila crassirostris;713;Thraupidae;Passeriformes;AVIBASE-2824A1D9;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;C;;;;;;;;;;;;;;;13;6;5;2;3;15.4;10.2;8.3;11.5;18.6;66.9;10.9;56.1;16.2;59.6;20.9;Dunning;NA;NO;NA;NA;Shrubland;2;2;Herbivore;Granivore;Insessorial;0;0
Sporophila funerea;714;Thraupidae;Passeriformes;AVIBASE-64EDEAE0;22;1;;;;;;;;0;18;;;;1;B;B;;;;;;;;;;;;;;;1;4;4;;;;C;;;;;;;;;;;;;;;33;15;15;3;4;12.6;9.3;6.9;10.2;17.4;55;8.8;48.5;15.4;48.7;13;Dunning;NA;NO;NA;NA;Human Modified;2;2;Herbivore;Granivore;Insessorial;0;0
Sporophila intermedia;715;Thraupidae;Passeriformes;AVIBASE-1F11E4F1;26;5;4;7;7;;;;C;;;;;;;;;1;1;1;3;;;C;;;;;;;;0;18;;;;1;B;;;;;;;;;;;;;;;45;25;19;1;4;10.3;7.2;5.4;7.4;15.1;54.6;9.4;47.4;16.5;45.1;12.1;Dunning;NA;NO;NA;NA;Shrubland;3;1;Herbivore;Granivore;Insessorial;0;0
Sporophila luctuosa;716;Thraupidae;Passeriformes;AVIBASE-F17ED91C;19;0;;;;;;;;;;;;;;;;;;;;;;;0;19;;;;1;B;;;;;;;;;;;;;;;;;;;;;;17;6;11;0;4;9.4;6.1;5.5;6.9;17.3;56.1;13;44;22.7;44.1;12.5;Dunning;NA;NO;NA;NA;Shrubland;3;2;Herbivore;Granivore;Insessorial;0;0
Sporophila minuta;717;Thraupidae;Passeriformes;AVIBASE-96944A78;6;3;1;1;1;3;;;C;;;;;;;;;1;4;4;;;;C;;;;;;;;1;1;1;;;;C;;;;;;;;;;;;;;;23;6;11;6;9;9.2;6.2;5;6.2;15.7;49.3;8.8;40.8;17.8;39.6;7.8;Dunning;NA;NO;NA;NA;Grassland;3;1;Herbivore;Granivore;Insessorial;0;0
