"Species","SAGU_H","SAGU_M","SAGU_EXT","SAGU_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Pygochelidon cyanoleuca",1,29,NA,NA,-0.917940227927552,-0.867763450569645,-0.605778610911681,-0.157178673211578,-0.554014862808599,-0.835894546372022,1.51297581948299,-1.68902342850423,-1.10720721518449,0.654879350611764,-0.19196342690173,0.458671558370966,-0.175088120502247,-0.189983759290145
"Pyriglena leuconota",15,2,NA,NA,-0.00915862926503839,-0.235115289039992,-0.417904542360848,-0.390403671176395,-0.0961513398262858,0.316124904000105,-1.02443033605757,0.0492502687819868,1.21027393220916,-0.102349225372171,0.321033955761561,-0.258486635031869,0.0382182969464188,0.0920875606233322
"Pyroderus scutatus",2,0,1,NA,1.80597639533106,1.04712696691743,1.78961576311144,1.82738005180193,1.41861381537353,0.873751340084486,-0.399838051616814,4.46627784554459,-0.310258200070939,-0.296267818313945,-0.550820564877764,0.545358423931858,0.172494958430207,-0.278665767319849
"Pyrrhomyias cinnamomeus",12,13,NA,NA,-0.902522014006045,-0.58533123560105,-0.276998990947723,-0.477684191887155,-0.315544277921977,-0.670444944456876,-0.107060418285211,-1.20479776308357,0.184390866767608,-0.167611950033279,-0.472218393819333,-0.0512980144938568,-0.0818654698923728,-0.287712668692249
"Pyrrhura melanura",3,2,NA,NA,0.580517144939716,-0.195574778944388,1.01463523033925,0.355057825385995,0.67840111988546,-0.639806129287405,1.07055628467079,0.991718288262505,-1.19060019874602,0.055851667544061,-1.33137017067607,0.628459897831471,0.0143400993625387,0.378600498738852
"Ramphastos ambiguus",5,0,1,NA,2.26065266964756,7.40185180371083,7.51977485391185,1.72579124900744,1.60939028328283,1.64584948235517,-0.9268377916137,10.4134192577078,-2.97510905840356,-8.20952945229237,-0.729254308873378,-0.364299000527916,-0.665189696664697,-0.202158916776557
"Ramphocelus dimidiatus",6,11,NA,NA,-0.117086594073421,-0.404574618021149,0.0987491461539424,-0.387542014759649,-0.12476781001268,-0.137329560508073,-0.54297378346782,-0.133353851890852,0.653253367232009,-0.302496548317937,-0.331699744197184,0.132655419331729,-0.0701620754540423,0.11751534097291
"Rhynchocyclus fulvipectus",1,0,1,NA,-0.262417068335811,-0.421520550919265,0.497981541824463,-0.373233732675918,-0.145753221482703,-0.296651399389325,-0.601529310134141,-0.102819898752489,0.58837803792322,-0.619432504188872,-0.695954696467147,0.295555167620902,-0.192346379665317,-0.00881200005322302
"Rupicola peruvianus",81,2,NA,NA,1.51381185280461,0.397532872489662,0.615402834668733,1.1477366528247,0.810036882742875,0.79409042064386,-0.829245247169832,2.91696397110079,0.585131330008405,0.198513986444846,0.027620705375327,0.353776297028131,0.43384615845881,-0.0576604870924804
"Rupornis magnirostris",1,16,NA,NA,1.59216100873658,0.137695234718554,0.991150971770399,1.68286640275624,1.55024957823095,2.31377565304964,0.237766572083121,4.26090547598006,0.175424458149047,1.20624870753195,0.587696380870149,0.598639852268297,-1.19363919065859,0.115369822017528
"Saltator striatipectus",11,13,NA,NA,0.133242542141599,-0.252061221938107,0.568434317531025,-0.178641096337175,0.182382303321288,0.218080695457796,-0.588516970874959,0.689967964956694,0.658924116987196,-0.404351778398442,-0.425313616874808,0.223533113557114,-0.356773407842971,0.17051085604082
"Saucerottia cyanifrons",0,15,NA,1,-1.41857863247609,-0.206872067543132,-0.911073972306785,-0.676569312851017,-0.813470859165243,-1.11164388289727,2.54745679058799,-2.43580304259331,-2.22597134444417,0.217790254013328,0.283798439773084,-0.0911070927002662,-0.23048270700676,0.0733540822485953
"Sayornis nigricans",1,0,1,NA,-0.426104726158169,-0.331142242129314,-0.0656406638280362,-0.243028365713965,-0.012209693946195,-0.388567844897739,-0.15260360569235,-0.375226116675958,0.165852133411967,-0.135851678088353,-0.410105145875072,-0.0610074411322103,-0.0306045882680838,-0.139908685341953
"Schistes albogularis",0,4,NA,1,-1.66675237133753,-0.353736819326802,-1.02849526515106,-0.688015938518002,-0.89550474036624,-1.16679375020231,2.37829638021862,-2.71805609680696,-2.04507521485227,0.257990564808698,0.260697720772644,-0.118920031569596,-0.267965701475795,-0.128582515060652
"Scytalopus atratus",2,1,NA,NA,-0.181840265153069,-0.489304282511727,-0.652747128049389,-0.690877594934749,-0.647495332084154,-0.0270298258979755,-1.05045501457593,-0.809770820175983,1.32136851227073,-0.225650346461242,0.360809149773706,-0.0302157796845525,0.258120510505009,0.145222311600169
"Scytalopus latrans",0,8,NA,1,-0.467853815332924,-0.540142081206075,-0.817136938031368,-0.678000141059391,-0.719990389889687,-0.143457323541967,-0.790208229392285,-1.15638374599734,1.08200233638893,-0.112348231902785,0.406579372234324,-0.0832397765720869,0.198683683986083,-0.00795803007342186
"Scytalopus micropterus",6,2,NA,NA,-0.0725574971250663,-0.449763772416124,-0.605778610911681,-0.609320387057481,-0.508228510510367,-0.00251877376239838,-1.14154138939021,-0.594499123629519,1.36819138715689,-0.191775427420096,0.292425154258034,-0.0729561004664817,0.309692664812471,0.137462405243352
"Scytalopus rodriguezi",0,1,NA,1,-0.313138546347779,-0.545790725505446,-0.652747128049389,-0.693739251351495,-0.658941920158712,-0.149585086575861,-0.985393318280021,-0.971958442039393,1.23761141870418,-0.219958329167136,0.25233270449718,-0.0271966901805237,0.246670558143927,0.067317997847831
"Scytalopus spillmanni",0,9,NA,1,-0.249447371941263,-0.523196148307959,-0.652747128049389,-0.635075294808197,-0.643679802725968,0.00360898927149601,-1.1480475590198,-0.798513278500725,1.40894260848385,-0.210386116571092,0.355503802966742,-0.0285575596860383,0.222934754861782,0.0355014947986296
"Serpophaga cinerea",3,0,1,NA,-1.03569503392608,-0.664412255792257,-0.746684162324806,-0.675138484642644,-0.575000274278621,-0.431462186134999,-0.582010801245367,-1.55301026258367,0.79438254249064,-0.105044940870688,0.0175697498042554,-0.235215446299927,-0.0427672995735205,-0.333303578605896
"Setophaga fusca",2,1,NA,NA,-0.917940227927552,-0.658763611492885,-0.629262869480535,-0.537778976638826,-0.584539097674086,-0.37631231882995,0.524038035785133,-1.47503444108258,-0.131702819704367,0.182945265425976,0.138235269725258,0.0777077170691899,-0.30173144115431,-0.0790994644093869
"Setophaga petechia",1,0,1,NA,-0.87996910758623,-0.692655477289116,-0.652747128049389,-0.616474528099347,-0.658941920158712,-0.229246006016487,-0.0485048916188906,-1.41296990945929,0.433594093774266,0.0413096186885936,0.21771856029584,0.0391873734580724,-0.261930111394961,-0.121090490749471
"Setophaga pitiayumi",1,3,NA,NA,-1.18628431635844,-0.675709544391,-0.746684162324806,-0.72378664372733,-0.700912743098757,-0.468228764338365,-0.276220828654582,-1.76334035870296,0.537149660005962,-0.123269821984379,0.0792596389738389,-0.164698864772823,-0.166166141764119,-0.325723303217895
"Sicalis flaveola",0,14,NA,1,-0.498514625111438,-0.720898698785976,-0.183061956672307,-0.483407504720647,-0.466257687570322,-0.259884821185959,-0.243689980506626,-0.868812641972074,0.535413024769767,-0.0973312792570893,-0.198709594242913,0.292236804878146,-0.198875577434698,-0.00360703577070284
