Species;Period;Abundance;Region
Cantorchilus nigricapillus;MODERN;11;BARBACOAS
Capito quinticolor;MODERN;10;BARBACOAS
Capito squamatus;MODERN;7;BARBACOAS
Carpodectes hopkei;MODERN;1;BARBACOAS
Cathartes aura;MODERN;3;BARBACOAS
Catharus ustulatus;MODERN;2;BARBACOAS
Celeus loricatus;MODERN;9;BARBACOAS
Ceratopipra mentalis;MODERN;46;BARBACOAS
Cercomacroides tyrannina;MODERN;4;BARBACOAS
Chlorophanes spiza;MODERN;1;BARBACOAS
Chlorothraupis olivacea;MODERN;3;BARBACOAS
Chrysothlypis salmoni;MODERN;1;BARBACOAS
Coereba flaveola;MODERN;22;BARBACOAS
Colonia colonus;MODERN;8;BARBACOAS
Contopus cooperi;MODERN;1;BARBACOAS
Contopus sordidulus;MODERN;1;BARBACOAS
Contopus virens;MODERN;1;BARBACOAS
Coragyps atratus;MODERN;51;BARBACOAS
Cotinga nattererii;MODERN;1;BARBACOAS
Crotophaga ani;MODERN;4;BARBACOAS
Cryptopipo holochlora;MODERN;2;BARBACOAS
Crypturellus soui;MODERN;4;BARBACOAS
Cyanerpes caeruleus;MODERN;10;BARBACOAS
Cyanerpes cyaneus;MODERN;2;BARBACOAS
Cyanoloxia cyanoides;MODERN;8;BARBACOAS
Cypseloides cryptus;MODERN;10;BARBACOAS
Dacnis cayana;MODERN;4;BARBACOAS
Dacnis venusta;MODERN;5;BARBACOAS
Dendrocincla fuliginosa;MODERN;4;BARBACOAS
Dendrocolaptes sanctithomae;MODERN;3;BARBACOAS
Dryocopus lineatus;MODERN;1;BARBACOAS
Dysithamnus puncticeps;MODERN;4;BARBACOAS
Elaenia brachyptera;MODERN;1;BARBACOAS
Elaenia flavogaster;MODERN;12;BARBACOAS
Empidonax virescens;MODERN;3;BARBACOAS
Epinecrophylla fulviventris;MODERN;12;BARBACOAS
Euphonia fulvicrissa;MODERN;3;BARBACOAS
Euphonia minuta;MODERN;2;BARBACOAS
Eutoxeres aquila;MODERN;2;BARBACOAS
Florisuga mellivora;MODERN;8;BARBACOAS
Galbula ruficauda;MODERN;1;BARBACOAS
Geothlypis semiflava;MODERN;6;BARBACOAS
Glaucis aeneus;MODERN;12;BARBACOAS
Glaucis hirsutus;MODERN;1;BARBACOAS
Glyphorynchus spirurus;MODERN;16;BARBACOAS
Gymnopithys bicolor;MODERN;19;BARBACOAS
Heliothryx barroti;MODERN;3;BARBACOAS
Henicorhina leucosticta;MODERN;9;BARBACOAS
Herpetotheres cachinnans;MODERN;2;BARBACOAS
