"Species","FUSA_H","FUSA_M","FUSA_EXT","FUSA_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Grallaria hypoleuca",6,0,1,NA,0.614052359741297,-0.0204668056638592,0.0517806290162344,-0.197241863046025,-0.489150863719438,1.33946133066045,-1.24564010346367,1.56537025151829,1.69511799146814,-0.417991365679889,1.40229648430805,0.483391282814252,-0.217831836524365,0.397181558719505
"Grallaria nuchalis",1,0,1,NA,0.963207059022578,0.222424899209133,0.192686180429359,0.101801232503955,-0.307913219205605,2.06253736865998,-1.27817095161162,2.66917525523372,1.89567016652953,-0.225040815826033,2.03970849826894,0.442029164524374,-0.463006309985779,0.3959837525595
"Grallaria ruficapilla",3,6,NA,NA,0.701094766864666,0.267614053604108,0.145717663291651,-0.0856372627929228,-0.376592747652952,1.7193826387619,-1.25214627309326,2.13917981435504,1.70870867510747,-0.492434579129381,1.77494852309522,0.321294317307001,-0.387609655510729,0.371593322653784
"Grallaria rufula",0,1,NA,1,0.0664510468562137,-0.00352087276574362,-0.206546215241161,-0.40185029684338,-0.74097580135971,1.03920094199963,-1.0764796930943,0.643143758625428,1.45360857637938,-0.651648180600273,1.4172797322202,0.320887523359088,-0.256874844700871,0.188454806599718
"Grallaricula nana",0,1,NA,1,-0.378872705897275,-0.387628685123033,-0.323967508085432,-0.514885725304856,-0.815378623844336,0.248719510627268,-0.9268377916137,-0.416129116693428,1.12082452998441,-0.567750964165562,0.612455173064064,0.402531946221574,-0.0783655464816226,-0.055166153569351
"Hapalopsittaca amazonina",3,0,1,NA,0.888616218200685,-0.122142403052554,0.873729678926129,0.652670092727602,-0.0694426343189841,-0.566272972880673,1.05103777578202,1.5887191216913,-1.43709505509009,0.556829238038432,-0.598067710211617,1.44091467886237,0.471310135872062,0.159704129685861
"Haplophaedia aureliae",2,14,NA,NA,-1.38894870699669,-0.122142403052554,-0.911073972306785,-0.665122687184033,-0.742883566038803,-1.10551611986337,2.52793828169922,-2.44452502561279,-2.32693421056947,0.256786351614303,0.303131613215275,-0.198877897335201,-0.288683701564617,0.175155745698548
"Heliangelus exortis",19,20,NA,NA,-1.48157062473185,-0.235115289039992,-1.0050110065822,-0.607889558849108,-0.714267095852408,-1.16679375020231,2.59299997799513,-2.57362351150077,-2.36432765945653,0.436806989722497,0.241089450071046,-0.22228540825301,-0.29228288248856,0.0540467790445638
"Heliodoxa rubinoides",1,1,NA,NA,-1.08263349822448,0.211127610610389,-0.864105455169076,-0.486269161137394,-0.658941920158712,-1.13615493503284,2.55396296021758,-1.95164775958201,-2.57348710370478,0.19808212514849,0.368396603944397,-0.218308192706488,0.0618975817007125,0.190691115895413
"Hellmayrea gularis",1,9,NA,NA,-0.732419934930379,-0.472358349613612,-0.817136938031368,-0.653676061517048,-0.462442158212136,-0.16184061264365,-0.783702059762694,-1.04219969594643,0.91829406947926,-0.273793013437767,0.182783183066378,-0.307592237960755,0.0995301101721807,-0.143966022022889
"Hemitriccus granadensis",0,1,NA,1,-1.0730095940647,-0.574033947002306,-0.676231386618243,-0.831098759355313,-0.681835096307828,-0.437589949168893,-1.01792416642798,-1.5940550315446,0.999381273138008,-0.683192492146895,-0.120400845605931,-0.155271465664439,0.0167037347828636,-0.308379585651227
"Henicorhina leucophrys",15,59,NA,NA,-0.53047264568434,-0.404574618021149,-0.699715645187098,-0.710909189851972,-0.916490151836263,0.0219922783731789,-1.03093650568716,-1.01119073342192,1.20328714700621,-0.639602667432162,0.597763771572818,0.17435047229848,0.190812454458797,-0.0270604678294574
"Icterus chrysater",4,10,NA,NA,0.370647134295107,0.0981547246229507,-0.0186721466903282,-0.101376373085027,0.376974300588771,0.162930828152748,-0.386825712357632,1.23915628345269,0.272941348964643,0.0366303943033054,-0.0720638966810708,-0.299973298406924,0.217356300839461,0.309397393730111
"Iridosornis rufivertex",1,0,1,NA,-0.265694584365766,-0.551439369804819,-0.417904542360848,-0.281660727340039,-0.149568750840889,0.0587588565765446,-0.425862730135179,-0.0757674402679727,0.658381096607412,0.229582233053788,0.0745770254697596,-0.00910723208365922,-0.0583251905464929,-0.0302493749783891
"Kleinothraupis atropileus",0,2,NA,1,-0.299276391184382,-0.421520550919265,-0.394420283791994,-0.393265327593142,-0.0808892223935421,0.00360898927149601,-0.725146533096373,-0.0669972063609111,0.814089054048081,-0.0501422808312884,-0.058347723443035,-0.199010146370795,0.0230974210177888,-0.0176747168803844
"Lafresnaya lafresnayi",2,13,NA,NA,-1.37455843838294,0.318451852298455,-0.864105455169076,-0.567826369014661,-0.718082625210594,-1.10551611986337,2.47588892466249,-2.14422177517141,-2.55868147908104,-0.0535647901055747,0.447850547798246,-0.369436739400951,-0.110418087422279,0.0284791362713426
"Legatus leucophaius",0,1,NA,1,-0.292439545790775,-0.619223101397281,0.0282963704473801,-0.354632965967068,-0.431917923346648,-0.529506394677308,0.0751123313433417,-0.511470183387137,-0.0553818310789714,-0.040665250004713,-0.451901810494135,0.606816936792806,-0.0149355616127704,0.111534064018524
"Leiothlypis peregrina",0,1,NA,1,-0.982966690694641,-0.737844631684091,-0.746684162324806,-0.583565479306765,-0.681835096307828,-0.33341797759269,0.101137009861706,-1.54252564608416,0.236432818061308,0.0798431126281248,0.202141395526611,0.0846253361349161,-0.241754197344043,-0.181731518801487
"Lepidocolaptes lacrymiger",4,5,NA,NA,-0.0500045907052511,0.369289650992802,-0.37093602522314,0.0331214785020454,0.33118794829054,-0.253757058152064,-0.0354925523597083,0.725516478273168,-0.391341326670428,0.0399183842300896,-0.0776417940837061,-0.617694582290673,0.516434731936653,-0.164069097812572
"Leptopogon rufipectus",4,4,NA,NA,-0.673827305698956,-0.545790725505446,-0.558810093773973,-0.519178209929975,-0.319359807280163,-0.504995342541731,-0.477912087171909,-0.961820459143384,0.450367385473445,-0.130977329811222,-0.326405293089211,-0.121727622089463,0.15513852533833,-0.171146751123162
"Lipaugus fuscocinereus",4,0,1,NA,1.08791924062398,0.301505919400339,0.920698196063837,1.12913588611585,1.53307969611911,0.322252667033999,-0.380319542728041,3.85433269624155,-0.283178285259854,0.892753278879194,-0.939183061054153,-0.19145804165523,0.265866998782484,-0.407714256539329
"Lophotriccus pileatus",1,0,1,NA,-1.11226342370388,-0.607925812798538,-0.605778610911681,-0.778158115645508,-0.735252507322431,-0.529506394677308,-0.562492292356594,-1.69694243771119,0.589648668754033,-0.542652880524797,-0.124672855685538,-0.00011393600155505,-0.0876884968232828,-0.277320739346402
