"Species","Abundance","Period","Di"
"Camptostoma obsoletum",8,"MODERN",3.085745875387
"Cantorchilus leucotis",38,"MODERN",2.76017575846762
"Capito auratus",24,"MODERN",2.59738838758258
"Capito aurovirens",5,"MODERN",2.72560604291588
"Caracara plancus",2,"MODERN",6.79977367308859
"Cathartes aura",3,"MODERN",7.75534853332555
"Celeus elegans",2,"MODERN",3.00057584513026
"Celeus grammicus",2,"MODERN",2.57101426934431
"Chaetura brachyura",1,"MODERN",4.29017931042555
"Charadrius collaris",3,"MODERN",3.28683073422709
"Chionomesa fimbriata",15,"MODERN",4.37945262929657
"Chlorestes notata",1,"MODERN",4.61742338295177
"Chloroceryle aenea",2,"MODERN",3.01607198632383
"Chloroceryle amazona",2,"MODERN",4.05730484669935
"Chloroceryle americana",4,"MODERN",3.00521110767788
"Chlorophanes spiza",5,"MODERN",2.62096942368027
"Chrysuronia oenone",11,"MODERN",4.3440415854471
"Coccycua minuta",1,"MODERN",2.97198190865684
"Coccyzus melacoryphus",4,"MODERN",2.84348548495758
"Colaptes punctigula",2,"MODERN",2.55419633263576
"Columbina minuta",1,"MODERN",2.80760762361061
"Columbina talpacoti",8,"MODERN",2.70162999126177
"Coragyps atratus",13,"MODERN",7.11135585241294
"Crotophaga ani",80,"MODERN",3.50853605597338
"Crotophaga major",1,"MODERN",4.87524118365458
"Crypturellus cinereus",8,"MODERN",3.80495144317535
"Crypturellus soui",1,"MODERN",3.16944406491883
"Cyanerpes caeruleus",29,"MODERN",2.91843056725679
"Cyanocorax violaceus",56,"MODERN",4.11392490068116
"Daptrius ater",7,"MODERN",4.98937456242542
"Dendrocincla fuliginosa",20,"MODERN",2.54418598296166
"Dendrocolaptes picumnus",1,"MODERN",2.97887398792568
"Dendroplex picus",11,"MODERN",2.56106175611596
"Donacobius atricapilla",8,"MODERN",2.82202609800569
"Doryfera johannae",2,"MODERN",4.50397296284684
"Dryobates affinis",2,"MODERN",2.5007633326607
"Dryobates passerinus",1,"MODERN",2.64628616839116
"Elaenia parvirostris",3,"MODERN",2.70327888199851
"Empidonomus varius",8,"MODERN",2.53469480683369
"Euphonia chrysopasta",5,"MODERN",2.82243188502893
"Euphonia laniirostris",7,"MODERN",2.78711634666375
"Euphonia minuta",1,"MODERN",3.04393195187541
"Euphonia xanthogaster",4,"MODERN",2.81492671997203
"Falco rufigularis",1,"MODERN",3.46541179445458
"Florisuga mellivora",8,"MODERN",4.30866502568316
