"Species","Abundance","Period","Di"
"Myiozetetes similis",4,"MODERN",1.94027567630024
"Myrmeciza longipes",23,"MODERN",2.29695287860928
"Notharchus tectus",1,"MODERN",2.28514336388311
"Nyctibius griseus",1,"MODERN",4.4040869532202
"Nyctidromus albicollis",1,"MODERN",2.84151042480659
"Ortalis columbiana",5,"MODERN",5.82847883589257
"Pachyramphus cinnamomeus",2,"MODERN",2.02884335691455
"Pachysylvia semibrunnea",2,"MODERN",2.14601196037068
"Parkesia noveboracensis",1,"MODERN",2.11983089023349
"Patagioenas cayennensis",20,"MODERN",3.18111711028046
"Phaeomyias murina",7,"MODERN",2.18288744405917
"Phaethornis anthophilus",15,"MODERN",3.79864527718742
"Phaethornis guy",4,"MODERN",4.04505061830674
"Phaethornis striigularis",3,"MODERN",4.25695676321651
"Pheugopedius fasciatoventris",9,"MODERN",2.08679030586529
"Pheugopedius mystacalis",2,"MODERN",2.15154826317469
"Pheugopedius sclateri",5,"MODERN",2.14249696744601
"Phimosus infuscatus",18,"MODERN",7.10485933621089
"Phyllomyias griseiceps",2,"MODERN",2.39591510399847
"Phyllomyias plumbeiceps",2,"MODERN",2.23948374541931
"Piaya cayana",3,"MODERN",4.89783207148414
"Picumnus olivaceus",9,"MODERN",2.43878116878375
"Pionus menstruus",29,"MODERN",3.70190210462665
"Piranga rubra",11,"MODERN",2.1776358794369
"Pitangus lictor",1,"MODERN",1.96590795809034
"Pitangus sulphuratus",33,"MODERN",2.4825910282837
"Platyrinchus mystaceus",1,"MODERN",2.40516648019661
"Poecilotriccus sylvia",6,"MODERN",2.4463149143259
"Polioptila plumbea",35,"MODERN",2.50283223055167
"Polyerata amabilis",1,"MODERN",4.06964838834041
"Ramphocaenus melanurus",3,"MODERN",2.48285542057271
"Ramphocelus dimidiatus",30,"MODERN",1.97492260472609
"Rupornis magnirostris",9,"MODERN",4.47557758023577
"Saltator coerulescens",2,"MODERN",2.33081506767821
"Saltator maximus",9,"MODERN",2.24330315864467
"Saltator striatipectus",26,"MODERN",2.21545816870336
"Setophaga castanea",6,"MODERN",2.22601045620315
"Setophaga fusca",8,"MODERN",2.37375838352819
"Setophaga petechia",4,"MODERN",2.21679717855462
"Setophaga ruticilla",1,"MODERN",2.23125631528556
"Sicalis flaveola",24,"MODERN",2.00655936205704
"Sipia palliata",3,"MODERN",2.15424781162879
"Sporophila crassirostris",1,"MODERN",2.14572176771663
"Sporophila funerea",4,"MODERN",2.17942034004784
"Sporophila intermedia",18,"MODERN",2.18579125560361
"Sporophila minuta",1,"MODERN",2.34875036758604
"Sporophila nigricollis",8,"MODERN",2.31743706076798
"Sporophila schistacea",1,"MODERN",2.18180333277229
"Stelgidopteryx ruficollis",1,"MODERN",3.04557138414518
"Stilpnia cyanicollis",8,"MODERN",2.04175022381672
"Stilpnia vitriolina",12,"MODERN",1.97548330196231
"Synallaxis albescens",7,"MODERN",2.24766976087459
"Syrigma sibilatrix",1,"MODERN",6.40317518248269
"Tangara gyrola",4,"MODERN",1.9845715213089
"Tangara inornata",1,"MODERN",2.04373314335009
"Tapera naevia",1,"MODERN",2.62930907071045
"Thamnophilus atrinucha",33,"MODERN",2.0931243875592
"Thamnophilus doliatus",32,"MODERN",2.11792728483969
"Thamnophilus multistriatus",9,"MODERN",2.09489223851844
"Thraupis episcopus",49,"MODERN",1.99741430339536
"Thraupis palmarum",15,"MODERN",1.99113947856041
"Threnetes ruckeri",3,"MODERN",3.90658133244349
"Tityra inquisitor",2,"MODERN",2.58328119462246
"Todirostrum cinereum",30,"MODERN",2.43155495071005
"Tolmomyias sulphurescens",22,"MODERN",2.02825915071098
"Tringa solitaria",2,"MODERN",3.09930569917548
"Troglodytes aedon",48,"MODERN",2.27621420789484
"Turdus ignobilis",26,"MODERN",2.27978020365998
"Turdus leucomelas",28,"MODERN",2.29635472020557
"Tyrannulus elatus",3,"MODERN",2.48304072771771
"Tyrannus melancholicus",22,"MODERN",2.33462865365816
"Uranomitra franciae",1,"MODERN",3.81940220419987
"Vanellus chilensis",15,"MODERN",4.76410027212301
"Vireo leucophrys",1,"MODERN",2.07227796197757
"Vireo olivaceus",4,"MODERN",2.1065865897872
"Volatinia jacarina",41,"MODERN",2.27909525613169
"Xenops minutus",6,"MODERN",2.19509191415972
"Xiphorhynchus susurrans",13,"MODERN",2.30012315394346
"Zenaida auriculata",14,"MODERN",2.61464109490239
